row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Vốn khác thuộc chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng công,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Vốn khác thuộc chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng công
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,7.224.509.210.000,283.153.338.806,(2.500.560.000),114.428.847.040,1.360.256.242.131,1.487.270.873.697,4.735.163.329.503,15.202.281.281.177,7224509210000.0,283153338806.0,-2500560000.0,114428847040.0,1360256242131.0,1487270873697.0,4735163329503.0,15202281281177.0
Phát hành cổ phiếu cho cổ đông hiện hữu (Thuyết minh số 4),Năm nay > Phát hành cổ phiếu cho cổ đông hiện hữu (Thuyết minh số 4),Phát hành cổ phiếu cho cổ đông hiện hữu (Thuyết minh số 4),2.436.465.480.000,1.102.511.505.516,-,-,-,-,-,3.538.976.985.516,2436465480000.0,1102511505516.0,,,,,,3538976985516.0
Phát hành cổ phiếu thường (Thuyết minh số 4),Năm nay > Phát hành cổ phiếu thường (Thuyết minh số 4),Phát hành cổ phiếu thường (Thuyết minh số 4),1.480.342.060.000,(280.342.060.000),-,-,-,(1.200.000.000.000),-,-,1480342060000.0,-280342060000.0,,,,-1200000000000.0,,
Góp vốn của cổ đông không kiểm soát,Năm nay > Góp vốn của cổ đông không kiểm soát,Góp vốn của cổ đông không kiểm soát,-,-,-,-,-,-,135.704.150.000,135.704.150.000,,,,,,,135704150000.0,135704150000.0
Cổ tức trả cho cổ đông không kiểm soát,Năm nay > Cổ tức trả cho cổ đông không kiểm soát,Cổ tức trả cho cổ đông không kiểm soát,-,-,-,-,-,-,(158.045.213.409),(158.045.213.409),,,,,,,-158045213409.0,-158045213409.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,230.881.012.655,363.941.990.827,594.823.003.482,,,,,,230881012655.0,363941990827.0,594823003482.0
"Trich quỹ khen thưởng, phúc lợi","Năm nay > Trich quỹ khen thưởng, phúc lợi","Trich quỹ khen thưởng, phúc lợi",-,-,-,-,-,(13.664.238.843),(13.618.943.676),(27.283.182.519),,,,,,-13664238843.0,-13618943676.0,-27283182519.0
Thay đổi tỷ lệ sở hữu tại công ty con,Năm nay > Thay đổi tỷ lệ sở hữu tại công ty con,Thay đổi tỷ lệ sở hữu tại công ty con,-,-,-,-,-,5.891.011.918,1.590.161.426.052,1.596.052.437.980,,,,,,5891011918.0,1590161426052.0,1596052437980.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,11.141.316.750.000,1.105.322.784.322,(2.500.560.000),114.428.847.040,1.360.256.242.131,510.378.659.427,6.653.306.739.307,20.882.509.462.227,11141316750000.0,1105322784322.0,-2500560000.0,114428847040.0,1360256242131.0,510378659427.0,6653306739307.0,20882509462227.0
