row_label_raw,row_label_full,Số đầu năm > Phần lỗ từ công ty liên kết trong năm,(148.827.231.768) > (207.052.399),numeric__(148.827.231.768) > (207.052.399)
Thanh lý Tadugo,Thanh lý Tadugo,Thanh lý Tadugo,141.795.342,141795342.0
Tăng tỉ lệ sở hữu (Thuyết minh số 4),Tăng tỉ lệ sở hữu (Thuyết minh số 4),Tăng tỉ lệ sở hữu (Thuyết minh số 4),(1.000.000.000),-1000000000.0
Số cuối năm,Số cuối năm,Số cuối năm,(149.892.488.825),-149892488825.0
