row_label_raw,row_label_full,Ngân hàng,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
"Ngân hàng Thương mại Cổ phần (""TMCP"")","Ngân hàng Thương mại Cổ phần (""TMCP"")","Ngân hàng Thương mại Cổ phần (""TMCP"")",,,,
Công thương Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Công thương Việt Nam",Công thương Việt Nam,593.993.857.441,335.613.403.524,593993857441.0,335613403524.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam",Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,233.235.758.378,72.986.209.038,233235758378.0,72986209038.0
Ngân hàng TMCP Việt Nam Thịnh Vượng,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Việt Nam Thịnh Vượng",Ngân hàng TMCP Việt Nam Thịnh Vượng,161.977.265.999,166.178.379.813,161977265999.0,166178379813.0
Ngân hàng liên doanh Việt Nga,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng liên doanh Việt Nga",Ngân hàng liên doanh Việt Nga,150.763.379.979,150.647.933.550,150763379979.0,150647933550.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam",Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,95.085.938.117,76.100.000.000,95085938117.0,76100000000.0
Ngân hàng TNHH MTV Việt Nam Hiện Đại,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TNHH MTV Việt Nam Hiện Đại",Ngân hàng TNHH MTV Việt Nam Hiện Đại,33.584.838.755,-,33584838755.0,
Ngân hàng TMCP Đại Chứng Việt Nam - Chi Nhánh Đà Nẵng,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Đại Chứng Việt Nam - Chi Nhánh Đà Nẵng",Ngân hàng TMCP Đại Chứng Việt Nam - Chi Nhánh Đà Nẵng,21.852.304.720,-,21852304720.0,
Ngân hàng TMCP Kỹ Thương Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Kỹ Thương Việt Nam",Ngân hàng TMCP Kỹ Thương Việt Nam,7.487.417.418,-,7487417418.0,
Ngân hàng TMCP Ngoại thương Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Ngoại thương Việt Nam",Ngân hàng TMCP Ngoại thương Việt Nam,5.903.664.881,3.815.620.039,5903664881.0,3815620039.0
Ngân hàng TMCP Quốc Tế Việt Nam,"Ngân hàng Thương mại Cổ phần (""TMCP"") > Ngân hàng TMCP Quốc Tế Việt Nam",Ngân hàng TMCP Quốc Tế Việt Nam,340.008.000,-,340008000.0,
TỔNG CỘNG,"Ngân hàng Thương mại Cổ phần (""TMCP"") > TỔNG CỘNG",TỔNG CỘNG,1.304.224.433.688,805.341.545.964,1304224433688.0,805341545964.0
