row_label_raw,row_label_full,col_0,Bàng cân đối kế toán hợp nhất,Bàng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bàng cân đối kế toán hợp nhất,numeric__Bàng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận nội bộchưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộchưa thực hiện,Lợi nhuận nội bộchưa thực hiện,97.804.287.550,82.229.519.927,15.574.767.624,(54.843.868.178),97804287550.0,82229519927.0,15574767624.0,-54843868178.0
Thuế TNDN đã nộp từcác khoản tiền thanhtoán theo tiến độ củakhách hàng (*),Tài sản thuế thu nhập hoãn lại > Thuế TNDN đã nộp từcác khoản tiền thanhtoán theo tiến độ củakhách hàng (*),Thuế TNDN đã nộp từcác khoản tiền thanhtoán theo tiến độ củakhách hàng (*),64.985.531.577,5.010.450.602,59.975.080.975,(21.788.916.926),64985531577.0,5010450602.0,59975080975.0,-21788916926.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,2.862.284.580,14.270.708.837,(11.408.424.257),(88.417.264),2862284580.0,14270708837.0,-11408424257.0,-88417264.0
Khác,Tài sản thuế thu nhập hoãn lại > Khác,Khác,1.430.898.498,1.524.865.829,(93.967.331),(65.000.000),1430898498.0,1524865829.0,-93967331.0,-65000000.0
,,,167.083.002.205,103.035.545.195,,,167083002205.0,103035545195.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Dự phòng các khoản đầu tư,Thuế thu nhập hoãn lại phải trả > Dự phòng các khoản đầu tư,Dự phòng các khoản đầu tư,(152.023.002.306),(184.064.051.262),32.041.048.955,(36.343.729.678),-152023002306.0,-184064051262.0,32041048955.0,-36343729678.0
Khác,Thuế thu nhập hoãn lại phải trả > Khác,Khác,(521.598.186),(2.466.357.170),1.944.758.984,5.563.832.477,-521598186.0,-2466357170.0,1944758984.0,5563832477.0
,,,(152.544.600.492),(186.530.408.432),,,-152544600492.0,-186530408432.0,,
Thu nhập (chi phí) thuế hoãn lại tính vào báo cáo kếtquả kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Thu nhập (chi phí) thuế hoãn lại tính vào báo cáo kếtquả kinh doanh hợp nhất,Thu nhập (chi phí) thuế hoãn lại tính vào báo cáo kếtquả kinh doanh hợp nhất,Thu nhập (chi phí) thuế hoãn lại tính vào báo cáo kếtquả kinh doanh hợp nhất,Thu nhập (chi phí) thuế hoãn lại tính vào báo cáo kếtquả kinh doanh hợp nhất,98.033.264.950,(107.566.099.569),,,98033264950.0,-107566099569.0
