row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Trả trước cho người bán ngắn hạn (TM số 6) (tiếp theo),Trả trước cho người bán ngắn hạn (TM số 6) (tiếp theo),Trả trước cho người bán ngắn hạn (TM số 6) (tiếp theo),Trả trước cho người bán ngắn hạn (TM số 6) (tiếp theo),Trả trước cho người bán ngắn hạn (TM số 6) (tiếp theo),Trả trước cho người bán ngắn hạn (TM số 6) (tiếp theo),Trả trước cho người bán ngắn hạn (TM số 6) (tiếp theo),,,,
HA Andong Meas,Trả trước cho người bán ngắn hạn (TM số 6) (tiếp theo) > HA Andong Meas,HA Andong Meas,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,-,8.629.747,,,,8629747.0
Đại Thắng,Trả trước cho người bán ngắn hạn (TM số 6) (tiếp theo) > Đại Thắng,Đại Thắng,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,-,5.434.295,,,,5434295.0
Bò sữa Tây Nguyên (*),Trả trước cho người bán ngắn hạn (TM số 6) (tiếp theo) > Bò sữa Tây Nguyên (*),Bò sữa Tây Nguyên (*),Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,-,1.003.673,,,,1003673.0
TỔNG CỘNG,Trả trước cho người bán ngắn hạn (TM số 6) (tiếp theo) > TỔNG CỘNG,TỔNG CỘNG,,,1.505.448.011,1.263.733.707,,,1505448011.0,1263733707.0
Phải thu về cho vay ngắn hạn (**),Phải thu về cho vay ngắn hạn (**),Phải thu về cho vay ngắn hạn (**),Phải thu về cho vay ngắn hạn (**),Phải thu về cho vay ngắn hạn (**),Phải thu về cho vay ngắn hạn (**),Phải thu về cho vay ngắn hạn (**),,,,
HA Attapeu,Phải thu về cho vay ngắn hạn (**) > HA Attapeu,HA Attapeu,Công ty con,Cho vay,728.053.755,858.792.408,,,728053755.0,858792408.0
HA Rattanakiri,Phải thu về cho vay ngắn hạn (**) > HA Rattanakiri,HA Rattanakiri,Công ty con,Cho vay,270.556.953,149.684.000,,,270556953.0,149684000.0
HAQM Lào,Phải thu về cho vay ngắn hạn (**) > HAQM Lào,HAQM Lào,Công ty con,Cho vay,234.617.379,234.617.379,,,234617379.0,234617379.0
HA Oyadav,Phải thu về cho vay ngắn hạn (**) > HA Oyadav,HA Oyadav,Công ty con,Cho vay,86.253.000,86.253.000,,,86253000.0,86253000.0
An Đông Mia,Phải thu về cho vay ngắn hạn (**) > An Đông Mia,An Đông Mia,Công ty con của công ty có cùng thành viên HĐQT,Cho vay,-,154.759.773,,,,154759773.0
Bò sữa Tây Nguyên,Phải thu về cho vay ngắn hạn (**) > Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con của công ty có cùng thành viên HĐQT,Cho vay,-,28.530.000,,,,28530000.0
HAQM Việt Nam (*),Phải thu về cho vay ngắn hạn (**) > HAQM Việt Nam (*),HAQM Việt Nam (*),Công ty con của công ty có cùng thành viên HĐQT,Cho vay,-,15.638.988,,,,15638988.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn (**) > TỔNG CỘNG,TỔNG CỘNG,,,1.319.481.087,1.528.275.548,,,1319481087.0,1528275548.0
