row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,2.260.978.441,2.335.435.321,2260978441.0,2335435321.0
Phải thu các bên liên quan từ việc cần trừ công nợ,Phải thu các bên liên quan từ việc cần trừ công nợ,Phải thu các bên liên quan từ việc cần trừ công nợ,1.695.366.342,1.776.073.056,1695366342.0,1776073056.0
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,320.330.245,240.163.718,320330245.0,240163718.0
Chi hộ,Chi hộ,Chi hộ,221.967.461,283.936.831,221967461.0,283936831.0
Khác,Khác,Khác,23.314.393,35.261.716,23314393.0,35261716.0
Dài hạn,Dài hạn,Dài hạn,1.486.306.351,1.350.380.436,1486306351.0,1350380436.0
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,1.456.965.163,1.221.688.650,1456965163.0,1221688650.0
Khác,Khác,Khác,29.341.188,128.691.786,29341188.0,128691786.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.747.284.792,3.685.815.757,3747284792.0,3685815757.0
Dự phòng phải thu khác khó đòi,Dự phòng phải thu khác khó đòi,Dự phòng phải thu khác khó đòi,(14.708.400),-,-14708400.0,
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,3.732.576.392,3.685.815.757,3732576392.0,3685815757.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn khác các bên liên quan (TM số 26),Trong đó: > Phải thu ngắn hạn khác các bên liên quan (TM số 26),Phải thu ngắn hạn khác các bên liên quan (TM số 26),2.237.664.048,2.300.898.116,2237664048.0,2300898116.0
Phải thu dài hạn khác các bên liên quan (TM số 26),Trong đó: > Phải thu dài hạn khác các bên liên quan (TM số 26),Phải thu dài hạn khác các bên liên quan (TM số 26),1.486.306.351,1.350.380.436,1486306351.0,1350380436.0
Phải thu khác các bên thứ ba,Trong đó: > Phải thu khác các bên thứ ba,Phải thu khác các bên thứ ba,8.605.993,34.537.205,8605993.0,34537205.0
