row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Lỗ lũy kế,Ngàn VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Lỗ lũy kế,numeric__Ngàn VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,11.085.538.950,1.170.127.000,(67.515.644),12.188.150.306,11085538950.0,1170127000.0,-67515644.0,12188150306.0
"Chia thù lao choHDQT, BKS","Năm trước > Chia thù lao choHDQT, BKS","Chia thù lao choHDQT, BKS",-,-,(1.200.000),(1.200.000),,,-1200000.0,-1200000.0
Lỗ thuần trong năm,Năm trước > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,(25.718.608),(25.718.608),,,-25718608.0,-25718608.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,(94.434.252),12.161.231.698,11085538950.0,1170127000.0,-94434252.0,12161231698.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,11.085.538.950,1.170.127.000,(94.434.252),12.161.231.698,11085538950.0,1170127000.0,-94434252.0,12161231698.0
"Chia thù lao choHDQT, BKS","Năm nay > Chia thù lao choHDQT, BKS","Chia thù lao choHDQT, BKS",-,-,(960.000),(960.000),,,-960000.0,-960000.0
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,(255.814.631),(255.814.631),,,-255814631.0,-255814631.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,(351.208.883),11.904.457.067,11085538950.0,1170127000.0,-351208883.0,11904457067.0
