row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,(255.814.631),(25.718.608),-255814631.0,-25718608.0
Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,Các điều chỉnh:,,
Chi phí không được trừ,Các điều chỉnh: > Chi phí không được trừ,Chi phí không được trừ,240.631.481,82.794.729,240631481.0,82794729.0
Điều chỉnh thuế TNDN theo Nghị định 132/2020/NĐ-CP,Các điều chỉnh: > Điều chỉnh thuế TNDN theo Nghị định 132/2020/NĐ-CP,Điều chỉnh thuế TNDN theo Nghị định 132/2020/NĐ-CP,-,49.493.900,,49493900.0
Thu nhập cổ tức,Các điều chỉnh: > Thu nhập cổ tức,Thu nhập cổ tức,(20.915.646),(15.686.735),-20915646.0,-15686735.0
Chênh lệch tỷ giá hối đoái,Các điều chỉnh: > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,44.200.812,-,44200812.0,
Lợi nhuận chịu thuế thuần điều chỉnh trước khi chuyển lỗ,Các điều chỉnh: > Lợi nhuận chịu thuế thuần điều chỉnh trước khi chuyển lỗ,Lợi nhuận chịu thuế thuần điều chỉnh trước khi chuyển lỗ,8.102.016,90.883.286,8102016.0,90883286.0
Lỗ mang sang từ các năm trước,Các điều chỉnh: > Lỗ mang sang từ các năm trước,Lỗ mang sang từ các năm trước,(8.102.016),(90.883.286),-8102016.0,-90883286.0
Chi phí thuế TNDN hiện hành ước tính,Chi phí thuế TNDN hiện hành ước tính,Chi phí thuế TNDN hiện hành ước tính,-,-,,
Thuế TNDN trả trước đầu năm,Chi phí thuế TNDN hiện hành ước tính > Thuế TNDN trả trước đầu năm,Thuế TNDN trả trước đầu năm,(285.831),(285.831),-285831.0,-285831.0
Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,-,-,,
Thuế TNDN trả trước cuối năm,Thuế TNDN đã trả trong năm > Thuế TNDN trả trước cuối năm,Thuế TNDN trả trước cuối năm,(285.831),(285.831),-285831.0,-285831.0
