row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải trả người bán ngắn hạn (TM số 12),Phải trả người bán ngắn hạn (TM số 12),Phải trả người bán ngắn hạn (TM số 12),Phải trả người bán ngắn hạn (TM số 12),Phải trả người bán ngắn hạn (TM số 12),Phải trả người bán ngắn hạn (TM số 12),Phải trả người bán ngắn hạn (TM số 12),,,,
THILOGI,Phải trả người bán ngắn hạn (TM số 12) > THILOGI,THILOGI,Công ty con của công ty có cùng thành viên HĐQT,Mua dịch vụ,7.750.385,100.834.613,,,7750385.0,100834613.0
CRD,Phải trả người bán ngắn hạn (TM số 12) > CRD,CRD,Công ty con,Mua hàng hóa,6.268.887,1.715.132,,,6268887.0,1715132.0
Đường bộ Chu Lai,Phải trả người bán ngắn hạn (TM số 12) > Đường bộ Chu Lai,Đường bộ Chu Lai,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,3.267.956,-,,,3267956.0,
Công ty TNHH MTV Tổ hợp Cơ khí Thaco Chu Lai,Phải trả người bán ngắn hạn (TM số 12) > Công ty TNHH MTV Tổ hợp Cơ khí Thaco Chu Lai,Công ty TNHH MTV Tổ hợp Cơ khí Thaco Chu Lai,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,3.308.978,-,,,3308978.0,
Công ty TNHH Phân phối Ô tô Tài - Bus Trường Hải,Phải trả người bán ngắn hạn (TM số 12) > Công ty TNHH Phân phối Ô tô Tài - Bus Trường Hải,Công ty TNHH Phân phối Ô tô Tài - Bus Trường Hải,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,2.963.100,1.994.000,,,2963100.0,1994000.0
HA Oyadav,Phải trả người bán ngắn hạn (TM số 12) > HA Oyadav,HA Oyadav,Công ty con,Mua hàng hóa,998.404,12.794.233,,,998404.0,12794233.0
HA Đắk Lắk,Phải trả người bán ngắn hạn (TM số 12) > HA Đắk Lắk,HA Đắk Lắk,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,541.386,-,,,541386.0,
Công ty TNHH MTV Cằng Chu Lai Trường Hải,Phải trả người bán ngắn hạn (TM số 12) > Công ty TNHH MTV Cằng Chu Lai Trường Hải,Công ty TNHH MTV Cằng Chu Lai Trường Hải,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,474.583,1.303.322,,,474583.0,1303322.0
THAGRICO,Phải trả người bán ngắn hạn (TM số 12) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Mua hàng hóa và vật tư,-,288.482.220,,,,288482220.0
Gỗ HAGL,Phải trả người bán ngắn hạn (TM số 12) > Gỗ HAGL,Gỗ HAGL,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,-,78.846.438,,,,78846438.0
Công ty TNHH Thương Mại Đầu tư Phát triển Do Holdings,Phải trả người bán ngắn hạn (TM số 12) > Công ty TNHH Thương Mại Đầu tư Phát triển Do Holdings,Công ty TNHH Thương Mại Đầu tư Phát triển Do Holdings,Công ty có cùng thành viên HĐQT,Mua hàng hóa,-,28.686.188,,,,28686188.0
Bên liên quan khác,Phải trả người bán ngắn hạn (TM số 12) > Bên liên quan khác,Bên liên quan khác,Bên liên quan,Mua hàng hóa và dịch vụ,108.576,64.163.034,,,108576.0,64163034.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (TM số 12) > TỔNG CỘNG,TỔNG CỘNG,,,25.682.255,578.819.180,,,25682255.0,578819180.0
