row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Ngàn VND > Năm nay,Ngàn VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Ngàn VND > Năm nay,numeric__Ngàn VND > Năm trước
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Chuyển nhượng công ty con,4.149.882.400,2.350.000.000,,,4149882400.0,2350000000.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Cán trừ nợ gốc vay,3.813.572.265,-,,,3813572265.0,
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Trả gốc vay,2.965.460.727,-,,,2965460727.0,
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Thu tiền chuyển nhượng công ty con,2.651.644.988,-,,,2651644988.0,
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Vay,2.131.420.615,3.105.781.212,,,2131420615.0,3105781212.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Mua hàng hóa,385.235.060,206.553.273,,,385235060.0,206553273.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Trả lãi vay,200.038.384,191.978.202,,,200038384.0,191978202.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Cán trừ công nợ khác,162.385.173,1.984.700.086,,,162385173.0,1984700086.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Bán hàng hóa,137.803.705,122.808.781,,,137803705.0,122808781.0
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Lãi vay,70.650.353,-,,,70650353.0,
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Cho vay,23.758.977,-,,,23758977.0,
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Cung cấp dịch vụ,8.893.283,-,,,8893283.0,
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Thu hộ,-,78.333.840,,,,78333840.0
HA Attapeu,HA Attapeu,HA Attapeu,Công ty con,Bán hàng hóa và cung cấp dịch vụ,511.286.306,377.064.729,,,511286306.0,377064729.0
HA Attapeu,HA Attapeu,HA Attapeu,Công ty con,Mua hàng hóa,479.486.407,291.230.292,,,479486407.0,291230292.0
HA Attapeu,HA Attapeu,HA Attapeu,Công ty con,Lãi cho vay,353.119.649,356.767.570,,,353119649.0,356767570.0
HA Attapeu,HA Attapeu,HA Attapeu,Công ty con,Chi hộ,123.914.585,44.114.737,,,123914585.0,44114737.0
HA Attapeu,HA Attapeu,HA Attapeu,Công ty con,Cán trừ công nợ,29.973.589,-,,,29973589.0,
HA Attapeu,HA Attapeu,HA Attapeu,Công ty con,"Cho vay, mượn",-,87.046.764,,,,87046764.0
Công ty TNHH,Công ty TNHH,Công ty TNHH,Công ty con của công ty có cùng thành viên HĐQT,Vay tiền,161.810.629,-,,,161810629.0,
Giao nhận Vận tải quốc tế,Giao nhận Vận tải quốc tế,Giao nhận Vận tải quốc tế,,Mua dịch vụ,148.632.793,-,,,148632793.0,
Giao nhận Vận tải quốc tế,Giao nhận Vận tải quốc tế,Giao nhận Vận tải quốc tế,,Cán trừ nợ gốc vay,129.071.629,-,,,129071629.0,
"Trường Hải (""THILOGI"")","Trường Hải (""THILOGI"")","Trường Hải (""THILOGI"")",,Trả gốc vay,32.739.000,-,,,32739000.0,
"Trường Hải (""THILOGI"")","Trường Hải (""THILOGI"")","Trường Hải (""THILOGI"")",,Cán trừ công nợ,19.158.012,-,,,19158012.0,
"Trường Hải (""THILOGI"")","Trường Hải (""THILOGI"")","Trường Hải (""THILOGI"")",,Lãi vay,5.233.154,-,,,5233154.0,
Bò sữa Tây,Bò sữa Tây,Bò sữa Tây,Công ty con của công ty có cùng thành viên HĐQT,Thu gốc cho vay,431.577.294,-,,,431577294.0,
Nguyên,Nguyên,Nguyên,,Lãi cho vay,24.200.651,43.726.310,,,24200651.0,43726310.0
Nguyên,Nguyên,Nguyên,,Bán hàng hóa,4.993.411,15.837.787,,,4993411.0,15837787.0
Nguyên,Nguyên,Nguyên,,Mua hàng hóa,638.580,9.494.230,,,638580.0,9494230.0
Nguyên,Nguyên,Nguyên,,Cho vay,-,443.784.509,,,,443784509.0
Nguyên,Nguyên,Nguyên,,Chi hộ,-,6.037.200,,,,6037200.0
