row_label_raw,row_label_full,HA Attapeu,Công ty con,Mua hàng hóa và dịch vụ,675.141.853,249.896.170,numeric__Công ty con,numeric__Mua hàng hóa và dịch vụ,numeric__675.141.853,numeric__249.896.170
HAQM Lào,HAQM Lào,HAQM Lào,Công ty con,Mua hàng hóa,617.052.265,562.744.354,,,617052265.0,562744354.0
XNK HAGL,XNK HAGL,XNK HAGL,Công ty con,Mua hàng hóa,173.841.673,184.291.125,,,173841673.0,184291125.0
THAGRICO,THAGRICO,THAGRICO,Công ty mẹ,Mua hàng hóa,39.013.212,-,,,39013212.0,
HA Lumphat,HA Lumphat,HA Lumphat,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,399.008,399.009,,,399008.0,399009.0
HA Đắk Lắk (*),HA Đắk Lắk (*),HA Đắk Lắk (*),Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,-,251.335.334,,,,251335334.0
