row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,258.356.458,1.121.211.542,258356458.0,1121211542.0
Phải trả các bên liên quan từ việc cấn trừ công nợ,Phải trả các bên liên quan từ việc cấn trừ công nợ,Phải trả các bên liên quan từ việc cấn trừ công nợ,239.175.177,987.958.066,239175177.0,987958066.0
Thu hộ,Thu hộ,Thu hộ,-,78.333.840,,78333840.0
Phải trả khác,Phải trả khác,Phải trả khác,19.181.281,54.919.636,19181281.0,54919636.0
Dài hạn,Dài hạn,Dài hạn,191.454.233,661.265.916,191454233.0,661265916.0
Phải trả các bên liên quan từ việc cấn trừ công nợ,Phải trả các bên liên quan từ việc cấn trừ công nợ,Phải trả các bên liên quan từ việc cấn trừ công nợ,154.914.294,424.907.998,154914294.0,424907998.0
Mượn tiên,Mượn tiên,Mượn tiên,36.539.939,236.357.918,36539939.0,236357918.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,449.810.691,1.782.477.458,449810691.0,1782477458.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn bên liên quan (TM số 26),Trong đó: > Phải trả ngắn hạn bên liên quan (TM số 26),Phải trả ngắn hạn bên liên quan (TM số 26),241.743.308,1.078.367.473,241743308.0,1078367473.0
Phải trả dài hạn bên liên quan (TM số 26),Trong đó: > Phải trả dài hạn bên liên quan (TM số 26),Phải trả dài hạn bên liên quan (TM số 26),154.914.294,424.907.998,154914294.0,424907998.0
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,53.153.089,279.201.987,53153089.0,279201987.0
