row_label_raw,row_label_full,HA Oyadav,Công ty con,Cấn trừ công nợ,123.092.138,275.660.734,numeric__Công ty con,numeric__Cấn trừ công nợ,numeric__123.092.138,numeric__275.660.734
Heng Brothers,Heng Brothers,Heng Brothers,Công ty con,Cấn trừ công nợ,31.822.156,37.235.308,,,31822156.0,37235308.0
HAQM Lào,HAQM Lào,HAQM Lào,Công ty con,Cấn trừ công nợ,-,90.012.570,,,,90012570.0
HAG,HAG,HAG,Cổ đông lớn,Cấn trừ công nợ,-,21.999.386,,,,21999386.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,154.914.294,424.907.998,,,154914294.0,424907998.0
