row_label_raw,row_label_full,Bên cho vay > HAG > THAGRICO,Số cuối nămNgàn VND > 1.988.462.266 > 457.052.500,Thời hạn thanh toán > Từ ngày 30 tháng 6năm 2022 đến ngày 31tháng 12 năm 2023 > Từ ngày 10 tháng 11năm 2023 đến ngày 29tháng 12 năm 2023,"Lãi suất%/năm > 0,00 > 10,50",numeric__Số cuối nămNgàn VND > 1.988.462.266 > 457.052.500,numeric__Thời hạn thanh toán > Từ ngày 30 tháng 6năm 2022 đến ngày 31tháng 12 năm 2023 > Từ ngày 10 tháng 11năm 2023 đến ngày 29tháng 12 năm 2023,"numeric__Lãi suất%/năm > 0,00 > 10,50"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.445.514.766,,,2445514766.0,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,1.093.729.7711.351.784.995,,,1.0937297711351785e+19,,
