row_label_raw,row_label_full,Bên liên quan > HAQM Việt Nam,Mối quan hệ > Công ty con của công ty có cùng thành viên HĐQT,Nội dung nghiệp vụ > Thu gốc cho vayLãi cho vayVayLãi vay,Ngàn VND > Năm nay > 15.638.988854.789-,Ngàn VND > Năm trước > -98.000.0003.423.631,numeric__Mối quan hệ > Công ty con của công ty có cùng thành viên HĐQT,numeric__Nội dung nghiệp vụ > Thu gốc cho vayLãi cho vayVayLãi vay,numeric__Ngàn VND > Năm nay > 15.638.988854.789-,numeric__Ngàn VND > Năm trước > -98.000.0003.423.631
HA Lymphat,HA Lymphat,HA Lymphat,Công ty con của công ty có cùng thành viên HĐQT,Cấn trừ công nợBán hàng hóa và cung cấp dịch vụMua hàng hóa,6.774.801-,-106.151.38594.211.448,,,,-1.0615138594211448e+16
Heng Brothers,Heng Brothers,Heng Brothers,Công ty con,Cấn trừ công nợMua hàng hóa,5.080.911-,-2.651.272,,,,-2651272.0
Công ty TNHH MTV Vận tải Đường bộ Chu Lai - Trường Hải (“Đường bộ Chu Lai”),Công ty TNHH MTV Vận tải Đường bộ Chu Lai - Trường Hải (“Đường bộ Chu Lai”),Công ty TNHH MTV Vận tải Đường bộ Chu Lai - Trường Hải (“Đường bộ Chu Lai”),Công ty con của công ty có cùng thành viên HĐQT,Cấn trừ công nợMua hàng hóa và dịch vụ,4.366.594-,-9.807.295,,,,-9807295.0
Công ty TNHH Một Thành Viên Tổ Hợp Cơ Khí Thaco Chu Lai (“Cơ khí Chu Lai”),Công ty TNHH Một Thành Viên Tổ Hợp Cơ Khí Thaco Chu Lai (“Cơ khí Chu Lai”),Công ty TNHH Một Thành Viên Tổ Hợp Cơ Khí Thaco Chu Lai (“Cơ khí Chu Lai”),Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,3.690.061,-,,,3690061.0,
Công ty TNHH Hoàng Anh Andong Meas (“HA Andong Meas”),Công ty TNHH Hoàng Anh Andong Meas (“HA Andong Meas”),Công ty TNHH Hoàng Anh Andong Meas (“HA Andong Meas”),Công ty con của công ty có cùng thành viên HĐQT,Chỉ hộMua hàng hóaBán hàng hóa và cung cấp dịch vụLãi cho vayCho vay,101.638-,13.094.640309.000.120118.930.34921.514.3975.609.814,,,,1.309464030900012e+40
THACO,THACO,THACO,Cổ đông lớn,VayTrả gốc vayLãi vay,-,1.591.618.877-1.375.438.452173.725.451,,,,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai (“Gỗ HAGL”),THACO > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai (“Gỗ HAGL”),Công ty Cổ phần Gỗ Hoàng Anh Gia Lai (“Gỗ HAGL”),Công ty con của công ty có cùng thành viên HĐQT,Cho mượnBán hàng hóa,-,41.233.785975.000,,,,41233785975000.0
