row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Người mua trả tiền trước ngắn hạn (TM số 13),Người mua trả tiền trước ngắn hạn (TM số 13),Người mua trả tiền trước ngắn hạn (TM số 13),Người mua trả tiền trước ngắn hạn (TM số 13),Người mua trả tiền trước ngắn hạn (TM số 13),Người mua trả tiền trước ngắn hạn (TM số 13),Người mua trả tiền trước ngắn hạn (TM số 13),,,,
Bò sữa Tây Nguyên,Người mua trả tiền trước ngắn hạn (TM số 13) > Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con của công ty có cùng thành viên HĐQT,Tạm ứng mua hàng hóa,-,44.310.775,,,,44310775.0
Chi phí phải trả ngắn hạn (TM số 14),Chi phí phải trả ngắn hạn (TM số 14),Chi phí phải trả ngắn hạn (TM số 14),Chi phí phải trả ngắn hạn (TM số 14),Chi phí phải trả ngắn hạn (TM số 14),Chi phí phải trả ngắn hạn (TM số 14),Chi phí phải trả ngắn hạn (TM số 14),,,,
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Lãi vay Mua hàng,14.401.614 128.400,148.927.488 -,,,,
THILOGI,THAGRICO > THILOGI,THILOGI,Công ty con của công ty có cùng thành viên HĐQT,Chi phí dịch vụ,954.542,-,,,954542.0,
TỔNG CỘNG,THAGRICO > TỔNG CỘNG,TỔNG CỘNG,,,15.484.556,148.927.488,,,15484556.0,148927488.0
Phải trả ngắn hạn khác (TM số 15),Phải trả ngắn hạn khác (TM số 15),Phải trả ngắn hạn khác (TM số 15),Phải trả ngắn hạn khác (TM số 15),Phải trả ngắn hạn khác (TM số 15),Phải trả ngắn hạn khác (TM số 15),Phải trả ngắn hạn khác (TM số 15),,,,
THAGRICO,THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Mượn tiền Thu hộ,131.156.340 -,636.242.848 78.333.840,,,,
HA Rattanakiri,THAGRICO > HA Rattanakiri,HA Rattanakiri,Công ty con,Mượn tiền,108.018.837,223.317.140,,,108018837.0,223317140.0
Đường bộ Chu lai,THAGRICO > Đường bộ Chu lai,Đường bộ Chu lai,Công ty con của công ty có cùng thành viên HĐQT,Mượn tiền,2.568.131,-,,,2568131.0,
HA An Đông Meas,THAGRICO > HA An Đông Meas,HA An Đông Meas,Công ty con của công ty có cùng thành viên HĐQT,Mượn tiền,-,97.748.420,,,,97748420.0
HA Attapeu,THAGRICO > HA Attapeu,HA Attapeu,Công ty con,Mượn tiền,-,12.897.295,,,,12897295.0
Công ty Cổ phần Lê Me,THAGRICO > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty con của công ty có cùng thành viên HĐQT,Mượn tiền,-,12.075.567,,,,12075567.0
Công ty TNHH Hưng Thắng Lợi Gia Lai,THAGRICO > Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty con của công ty có cùng thành viên HĐQT,Mượn tiền,-,9.647.776,,,,9647776.0
HAQM Lào,THAGRICO > HAQM Lào,HAQM Lào,Công ty con,Mượn tiền,-,6.004.587,,,,6004587.0
HAG,THAGRICO > HAG,HAG,Cổ đông lớn,Mượn tiền,-,2.100.000,,,,2100000.0
TỔNG CỘNG,THAGRICO > TỔNG CỘNG,TỔNG CỘNG,,,241.743.308,1.078.367.473,,,241743308.0,1078367473.0
