row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,264.079.854,403.053.261,264079854.0,403053261.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,152.450.400,152.450.400,152450400.0,152450400.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,85.110.944,226.894.569,85110944.0,226894569.0
Khác,Khác,Khác,26.518.510,23.708.292,26518510.0,23708292.0
Dài hạn,Dài hạn,Dài hạn,175.531.171,185.916.164,175531171.0,185916164.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,175.531.171,185.916.164,175531171.0,185916164.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,439.611.025,588.969.425,439611025.0,588969425.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn bên liên quan (TM số 26),Trong đó: > Phải trả ngắn hạn bên liên quan (TM số 26),Phải trả ngắn hạn bên liên quan (TM số 26),15.484.556,148.927.488,15484556.0,148927488.0
Phải trả dài hạn bên liên quan (TM số 26),Trong đó: > Phải trả dài hạn bên liên quan (TM số 26),Phải trả dài hạn bên liên quan (TM số 26),3.278.882,-,3278882.0,
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,420.847.587,440.041.937,420847587.0,440041937.0
