row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận chuyển,Thiết bị văn phòng,Ngàn VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận chuyển,numeric__Thiết bị văn phòng,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,40.659.868,26.975.641,6.621.052,2.968.715,77.225.276,40659868.0,26975641.0,6621052.0,2968715.0,77225276.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,182.000,716.439,36.960,935.399,,182000.0,716439.0,36960.0,935399.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(40.659.868),(26.283.776),(1.787.157),(39.500),(68.770.301),-40659868.0,-26283776.0,-1787157.0,-39500.0,-68770301.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,-,873.865,5.550.334,2.966.175,9.390.374,,873865.0,5550334.0,2966175.0,9390374.0
Trong đó: Đã khấu hao hết,Nguyên giá > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,-,1.363.577,3.814.873,281.274,5.459.724,,1363577.0,3814873.0,281274.0,5459724.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Số đầu năm,Khấu hao lũy kế > Số đầu năm,Số đầu năm,(4.767.254),(5.465.860),(4.914.133),(970.573),(16.117.820),-4767254.0,-5465860.0,-4914133.0,-970573.0,-16117820.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(2.248.182),(2.106.105),(518.760),(535.170),(5.408.217),-2248182.0,-2106105.0,-518760.0,-535170.0,-5408217.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,7.015.436,6.712.917,435.954,8.558,14.172.865,7015436.0,6712917.0,435954.0,8558.0,14172865.0
Số cuối năm,Khấu hao lũy kế > Số cuối năm,Số cuối năm,-,(859.048),(4.996.939),(1.497.185),(7.353.172),,-859048.0,-4996939.0,-1497185.0,-7353172.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,35.892.614,21.509.781,1.706.919,1.998.142,61.107.456,35892614.0,21509781.0,1706919.0,1998142.0,61107456.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,14.817,553.395,1.468.990,2.037.202,,14817.0,553395.0,1468990.0,2037202.0
