row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và biểu quyết %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,Tỷ lệ sở hữu và biểu quyết %,Giá gốc đầu tư Ngân VND,Dự phòng Ngân VND,,,,,,,
HA Attapeu,Tên công ty con > HA Attapeu,HA Attapeu,"Trồng cây công, nông nghiệp và xây dựng","100,00",2.101.029.560,-,"100,00",2.101.029.560,-,,100.0,2101029560.0,,100.0,2101029560.0,
HAQM Lào,Tên công ty con > HAQM Lào,HAQM Lào,"Trồng cây công, nông nghiệp","100,00",1.081.159.132,-,"100,00",1.081.159.132,-,,100.0,1081159132.0,,100.0,1081159132.0,
HA Rattanakiri,Tên công ty con > HA Rattanakiri,HA Rattanakiri,"Trồng cây công, nông nghiệp","100,00",943.987.719,-,"100,00",943.987.719,-,,100.0,943987719.0,,100.0,943987719.0,
HA Oyadav,Tên công ty con > HA Oyadav,HA Oyadav,"Trồng cây công, nông nghiệp","100,00",436.708.401,-,"100,00",388.265.911,-,,100.0,436708401.0,,100.0,388265911.0,
XNK HAGL,Tên công ty con > XNK HAGL,XNK HAGL,Thương mại,"100,00",100.000.000,(100.000.000),"100,00",100.000.000,(100.000.000),,100.0,100000000.0,-100000000.0,100.0,100000000.0,-100000000.0
HAQM Việt Nam (*),Tên công ty con > HAQM Việt Nam (*),HAQM Việt Nam (*),"Trồng cây công, nông nghiệp",-,-,-,"100,00",3.365.986.867,-,,,,,100.0,3365986867.0,
HA Đắk Lắk (*),Tên công ty con > HA Đắk Lắk (*),HA Đắk Lắk (*),"Trồng cây công, nông nghiệp",-,-,-,"99,96",1.024.313.155,(178.158.008),,,,,99.96,1024313155.0,-178158008.0
Bò sữa Tây Nguyên (*),Tên công ty con > Bò sữa Tây Nguyên (*),Bò sữa Tây Nguyên (*),Trồng cây nông nghiệp,-,-,-,"100,00",621.090.049,(427.195.658),,,,,100.0,621090049.0,-427195658.0
TỔNG CỘNG,Tên công ty con > TỔNG CỘNG,TỔNG CỘNG,,,4.662.884.812,(100.000.000),,9.625.832.393,(705.353.666),,,4662884812.0,-100000000.0,,9625832393.0,-705353666.0
