row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải thu ngắn hạn khác (TM số 7),Phải thu ngắn hạn khác (TM số 7),Phải thu ngắn hạn khác (TM số 7),Phải thu ngắn hạn khác (TM số 7),Phải thu ngắn hạn khác (TM số 7),Phải thu ngắn hạn khác (TM số 7),Phải thu ngắn hạn khác (TM số 7),,,,
HA Attapeu,Phải thu ngắn hạn khác (TM số 7) > HA Attapeu,HA Attapeu,Công ty con,Cho mượnLãi cho vayChi hộ,1.460.547.605248.525.712202.561.559,1.256.929.644175.851.926242.725.319,,,1.4605476052485258e+27,1.256929644175852e+27
HA An Đông Meas,Phải thu ngắn hạn khác (TM số 7) > HA An Đông Meas,HA An Đông Meas,Công ty con của công ty có cùng thành viên HĐQT,Cho mượnChi hộ,195.894.200-,487.108.44313.094.640,,,,4.871084431309464e+16
HAQM Lào,Phải thu ngắn hạn khác (TM số 7) > HAQM Lào,HAQM Lào,Công ty con,Lãi cho vayChi hộCho mượn,71.804.53319.368.702726.167,47.169.70818.941.715-,,,7.180453319368702e+21,
HA Lumphat,Phải thu ngắn hạn khác (TM số 7) > HA Lumphat,HA Lumphat,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn,38.198.370,32.014.721,,,38198370.0,32014721.0
HA Oyadav,Phải thu ngắn hạn khác (TM số 7) > HA Oyadav,HA Oyadav,Công ty con,Lãi cho vayChi hộCấn trừ công nợ,--,8.633.173539.22720.249,,,,8.633173539227203e+17
Bò sữa Tây Nguyên,Phải thu ngắn hạn khác (TM số 7) > Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con của công ty có cùng thành viên HĐQT,Chi hộLãi cho vay,--,6.037.200172.352,,,,6037200172352.0
HA Rattanakiri,Phải thu ngắn hạn khác (TM số 7) > HA Rattanakiri,HA Rattanakiri,Công ty con,Lãi cho vayChi hộ,--,3.404.95043.711,,,,340495043711.0
An Đông Mia,Phải thu ngắn hạn khác (TM số 7) > An Đông Mia,An Đông Mia,Công ty con của công ty có cùng thành viên HĐQT,Cấn trừ công nợ,-,2.747.095,,,,2747095.0
HAQM Việt Nam,Phải thu ngắn hạn khác (TM số 7) > HAQM Việt Nam,HAQM Việt Nam,Công ty con của công ty có cùng thành viên HĐQT,Lãi cho vay,-,2.184.513,,,,2184513.0
HAG,Phải thu ngắn hạn khác (TM số 7) > HAG,HAG,Cổ đông lớn,Cho mượn,-,680.800,,,,680800.0
Bên liên quan khác,Phải thu ngắn hạn khác (TM số 7) > Bên liên quan khác,Bên liên quan khác,Bên liên quan,Chi hộ,37.200,2.598.730,,,37200.0,2598730.0
TỔNG CỘNG,Phải thu ngắn hạn khác (TM số 7) > TỔNG CỘNG,TỔNG CỘNG,,,2.237.664.048,2.300.898.116,,,2237664048.0,2300898116.0
