row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),Phải thu ngắn hạn của khách hàng (TM số 5),,,,
HA Attapeu,Phải thu ngắn hạn của khách hàng (TM số 5) > HA Attapeu,HA Attapeu,Công ty con,Bán hàng hóa,876.771.175,633.101.360,,,876771175.0,633101360.0
HA Oyadav,Phải thu ngắn hạn của khách hàng (TM số 5) > HA Oyadav,HA Oyadav,Công ty con,Bán hàng hóa,93.376.292,93.181.868,,,93376292.0,93181868.0
HAQM Lào,Phải thu ngắn hạn của khách hàng (TM số 5) > HAQM Lào,HAQM Lào,Công ty con,Bán hàng hóa,43.352.107,29.770.527,,,43352107.0,29770527.0
THAGRICO,Phải thu ngắn hạn của khách hàng (TM số 5) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Chuyển nhượng công ty con Bán hàng hóa,38.063.941,2.350.000.000,,,38063941.0,2350000000.0
THAGRICO,Phải thu ngắn hạn của khách hàng (TM số 5) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Chuyển nhượng công ty con Bán hàng hóa,-,280.542.963,,,,280542963.0
CRD,Phải thu ngắn hạn của khách hàng (TM số 5) > CRD,CRD,Công ty con,Bán hàng hóa,12.466.856,-,,,12466856.0,
Công ty TNHH Hưng Thắng Lợi Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty con của công ty có cùng thành viên HĐQT,Bán hàng hóa,3.578.369,-,,,3578369.0,
Công ty TNHH MTV Chăn Nuôi Bò Trung Nguyên,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty TNHH MTV Chăn Nuôi Bò Trung Nguyên,Công ty TNHH MTV Chăn Nuôi Bò Trung Nguyên,Công ty con của công ty có cùng thành viên HĐQT,Bán hàng hóa,682.790,-,,,682790.0,
HA Andong Meas,Phải thu ngắn hạn của khách hàng (TM số 5) > HA Andong Meas,HA Andong Meas,Công ty con của công ty có cùng thành viên HĐQT,Bán hàng hóa,431.628,437.909,,,431628.0,437909.0
HAG,Phải thu ngắn hạn của khách hàng (TM số 5) > HAG,HAG,Cổ đông lớn,Bán hàng hóa,-,5.777.094,,,,5777094.0
Công ty Cổ phần Chăn Nuôi Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 5) > Công ty Cổ phần Chăn Nuôi Gia Lai,Công ty Cổ phần Chăn Nuôi Gia Lai,Công ty con của công ty có cùng thành viên HĐQT,Bán hàng hóa,-,2.695.102,,,,2695102.0
Bên liên quan khác,Phải thu ngắn hạn của khách hàng (TM số 5) > Bên liên quan khác,Bên liên quan khác,Bên liên quan,Bán hàng hóa,429.970,1.739.843,,,429970.0,1739843.0
TỔNG CỘNG,Phải thu ngắn hạn của khách hàng (TM số 5) > TỔNG CỘNG,TỔNG CỘNG,,,1.069.153.128,3.397.246.666,,,1069153128.0,3397246666.0
