row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHLỗ kế toán trước thuếĐiều chỉnh cho các khoản:Khấu hao và hao mònCác khoản dự phòngLỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệcó gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay,"Thuyết minh > 9, 1021",Năm nay > (255.814.631)6.155.717220.533.28032.286.654(378.059.483)286.754.840,Năm trước > (25.718.608)6.735.212149.629.64652.471.942(907.820.550)788.585.645,numeric__CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG KINH DOANHLỗ kế toán trước thuếĐiều chỉnh cho các khoản:Khấu hao và hao mònCác khoản dự phòngLỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mục tiền tệcó gốc ngoại tệLãi từ hoạt động đầu tưChi phí lãi vay,"numeric__Thuyết minh > 9, 1021",numeric__Năm nay > (255.814.631)6.155.717220.533.28032.286.654(378.059.483)286.754.840,numeric__Năm trước > (25.718.608)6.735.212149.629.64652.471.942(907.820.550)788.585.645
08,08,08,(Lỗ)/lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu độngGiảm các khoản phải thuGiảm/(tăng) hàng tồn kho(Giảm)/tăng các khoản phải trảTiền lãi vay đã trả,,(88.143.623)338.482.90860.624.052(2.026.049.368)4.114.317(428.376.665),63.883.287210.594.593(17.475.598)251.106.10173.516(232.184.283),,,,
09,09,09,(Lỗ)/lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu độngGiảm các khoản phải thuGiảm/(tăng) hàng tồn kho(Giảm)/tăng các khoản phải trảTiền lãi vay đã trả,,(88.143.623)338.482.90860.624.052(2.026.049.368)4.114.317(428.376.665),63.883.287210.594.593(17.475.598)251.106.10173.516(232.184.283),,,,
10,10,10,(Lỗ)/lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu độngGiảm các khoản phải thuGiảm/(tăng) hàng tồn kho(Giảm)/tăng các khoản phải trảTiền lãi vay đã trả,,(88.143.623)338.482.90860.624.052(2.026.049.368)4.114.317(428.376.665),63.883.287210.594.593(17.475.598)251.106.10173.516(232.184.283),,,,
11,11,11,(Lỗ)/lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu độngGiảm các khoản phải thuGiảm/(tăng) hàng tồn kho(Giảm)/tăng các khoản phải trảTiền lãi vay đã trả,,(88.143.623)338.482.90860.624.052(2.026.049.368)4.114.317(428.376.665),63.883.287210.594.593(17.475.598)251.106.10173.516(232.184.283),,,,
12,12,12,(Lỗ)/lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu độngGiảm các khoản phải thuGiảm/(tăng) hàng tồn kho(Giảm)/tăng các khoản phải trảTiền lãi vay đã trả,,(88.143.623)338.482.90860.624.052(2.026.049.368)4.114.317(428.376.665),63.883.287210.594.593(17.475.598)251.106.10173.516(232.184.283),,,,
14,14,14,(Lỗ)/lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưu độngGiảm các khoản phải thuGiảm/(tăng) hàng tồn kho(Giảm)/tăng các khoản phải trảTiền lãi vay đã trả,,(88.143.623)338.482.90860.624.052(2.026.049.368)4.114.317(428.376.665),63.883.287210.594.593(17.475.598)251.106.10173.516(232.184.283),,,,
20,14 > 20,20,Lưu chuyển tiền thuần (sử dụngvào)/từ hoạt động kinh doanh,,(2.139.348.379),275.997.616,,,-2139348379.0,275997616.0
II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chi để mua sắm tài sảncố địnhTiền chi cho vayTiền thu hồi cho vayTiền chi đầu tư góp vốn vào cácodơn vị khácTiền thu hồi đầu tư góp vốn vàocác công ty conTiền thu lãi tiền gửi và cho vay,II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chi để mua sắm tài sảncố địnhTiền chi cho vayTiền thu hồi cho vayTiền chi đầu tư góp vốn vào cácodơn vị khácTiền thu hồi đầu tư góp vốn vàocác công ty conTiền thu lãi tiền gửi và cho vay,II. LƯU CHUYÊN TIÊN TỪHOẠT ĐỘNG ĐẦU TỰTiền chi để mua sắm tài sảncố địnhTiền chi cho vayTiền thu hồi cho vayTiền chi đầu tư góp vốn vào cácodơn vị khácTiền thu hồi đầu tư góp vốn vàocác công ty conTiền thu lãi tiền gửi và cho vay,,,(75.944.953)(23.758.977)625.735.030(48.442.490)2.651.644.98850.105.202,(7.148.694)(838.444.494)2.151.690.646(6.108.512.574)-539.514.802,,,,
21,21,21,,,(75.944.953)(23.758.977)625.735.030(48.442.490)2.651.644.98850.105.202,(7.148.694)(838.444.494)2.151.690.646(6.108.512.574)-539.514.802,,,,
23,23,23,,,(75.944.953)(23.758.977)625.735.030(48.442.490)2.651.644.98850.105.202,(7.148.694)(838.444.494)2.151.690.646(6.108.512.574)-539.514.802,,,,
24,24,24,,,(75.944.953)(23.758.977)625.735.030(48.442.490)2.651.644.98850.105.202,(7.148.694)(838.444.494)2.151.690.646(6.108.512.574)-539.514.802,,,,
25,25,25,,,(75.944.953)(23.758.977)625.735.030(48.442.490)2.651.644.98850.105.202,(7.148.694)(838.444.494)2.151.690.646(6.108.512.574)-539.514.802,,,,
26,26,26,,,(75.944.953)(23.758.977)625.735.030(48.442.490)2.651.644.98850.105.202,(7.148.694)(838.444.494)2.151.690.646(6.108.512.574)-539.514.802,,,,
27,27,27,,,(75.944.953)(23.758.977)625.735.030(48.442.490)2.651.644.98850.105.202,(7.148.694)(838.444.494)2.151.690.646(6.108.512.574)-539.514.802,,,,
30,27 > 30,30,Lưu chuyển tiền thuần từ/(sử dụngvào) hoạt động đầu tư,,3.179.338.800,(4.262.900.314),,,3179338800.0,-4262900314.0
