row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngân VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngân VND > Số đầu năm
Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),Phải thu về cho vay dài hạn (*),,,,
HA Attapeu,Phải thu về cho vay dài hạn (*) > HA Attapeu,HA Attapeu,Công ty con,Cho vay,3.242.455.965,3.122.303.026,,,3242455965.0,3122303026.0
HA Oyadav,Phải thu về cho vay dài hạn (*) > HA Oyadav,HA Oyadav,Công ty con,Cho vay,762.449.593,762.449.593,,,762449593.0,762449593.0
HA Rattanakiri,Phải thu về cho vay dài hạn (*) > HA Rattanakiri,HA Rattanakiri,Công ty con,Cho vay,535.351.401,656.224.354,,,535351401.0,656224354.0
HAQM Lào,Phải thu về cho vay dài hạn (*) > HAQM Lào,HAQM Lào,Công ty con,Cho vay,384.815.315,384.815.315,,,384815315.0,384815315.0
Bò sữa Tây Nguyên,Phải thu về cho vay dài hạn (*) > Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con của công ty có cùng thành viên HĐQT,Cho vay,-,415.254.509,,,,415254509.0
TỔNG CỘNG,Phải thu về cho vay dài hạn (*) > TỔNG CỘNG,TỔNG CỘNG,,,4.925.072.274,5.341.046.797,,,4925072274.0,5341046797.0
Phải thu dài hạn khác (TM số 7),Phải thu dài hạn khác (TM số 7),Phải thu dài hạn khác (TM số 7),Phải thu dài hạn khác (TM số 7),Phải thu dài hạn khác (TM số 7),Phải thu dài hạn khác (TM số 7),Phải thu dài hạn khác (TM số 7),,,,
HA Attapeu,Phải thu dài hạn khác (TM số 7) > HA Attapeu,HA Attapeu,Công ty con,Lãi cho vay,1.410.126.601,1.134.016.590,,,1410126601.0,1134016590.0
HAQM Lào,Phải thu dài hạn khác (TM số 7) > HAQM Lào,HAQM Lào,Công ty con,Lãi cho vay,46.599.555,15.057.513,,,46599555.0,15057513.0
HAQM Lào,Phải thu dài hạn khác (TM số 7) > HAQM Lào,HAQM Lào,Công ty con,Chi hộ,29.341.187,128.691.786,,,29341187.0,128691786.0
Bò sữa Tây Nguyên,Phải thu dài hạn khác (TM số 7) > Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con của công ty có cùng thành viên HĐQT,Lãi cho vay,239.008,3.703.160,,,239008.0,3703160.0
HAQM Việt Nam,Phải thu dài hạn khác (TM số 7) > HAQM Việt Nam,HAQM Việt Nam,Công ty con của công ty có cùng thành viên HĐQT,Lãi cho vay,-,30.700.993,,,,30700993.0
HA Rattanakiri,Phải thu dài hạn khác (TM số 7) > HA Rattanakiri,HA Rattanakiri,Công ty con,Lãi cho vay,-,19.625.906,,,,19625906.0
HA Oyadav,Phải thu dài hạn khác (TM số 7) > HA Oyadav,HA Oyadav,Công ty con,Lãi cho vay,-,13.442.166,,,,13442166.0
An Đông Mia,Phải thu dài hạn khác (TM số 7) > An Đông Mia,An Đông Mia,Công ty con của công ty có cùng thành viên HĐQT,Lãi cho vay,-,5.142.322,,,,5142322.0
TỔNG CỘNG,Phải thu dài hạn khác (TM số 7) > TỔNG CỘNG,TỔNG CỘNG,,,1.486.306.351,1.350.380.436,,,1486306351.0,1350380436.0
