row_label_raw,row_label_full,col_0,Số cuối năm > Thời gianquá hạn,Số cuối năm > Giá gốc,Số cuối năm > Giá trị cótheẻ thu hồi,Số đầu năm > Thời gianquá hạn,Số đầu năm > Giá gốc,Số đầu năm > Giá trị cótheẻ thu hồi,numeric__Số cuối năm > Thời gianquá hạn,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị cótheẻ thu hồi,numeric__Số đầu năm > Thời gianquá hạn,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị cótheẻ thu hồi
,,,Từ 02 đến,Từ 02 đến,Từ 02 đến,Từ 02 đến 03,Từ 02 đến 03,Từ 02 đến 03,,,,,,
,,,03 năm,53.901.222.173,53.901.222.173,năm,75.306.322.150,75.306.322.150,,53901222173.0,53901222173.0,,75306322150.0,75306322150.0
,,,Trên 03 năm,304.372.881.940,304.372.881.940,Trên 03 năm,281.938.459.505,281.938.459.505,,304372881940.0,304372881940.0,,281938459505.0,281938459505.0
Cộng,Cộng,Cộng,,427.058.503.420,421.840.731.141,,471.265.335.685,466.678.873.182,,427058503420.0,421840731141.0,,471265335685.0,466678873182.0
