row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm máy tính,Chi phí nghiên cứu và triển khai,Cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm máy tính,numeric__Chi phí nghiên cứu và triển khai,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.913.993.558,24.951.458.162,412.500.000,29.277.951.720,3913993558.0,24951458162.0,412500000.0,29277951720.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.059.118.000,-,1.059.118.000,,1059118000.0,,1059118000.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,2.795.900.000,-,2.795.900.000,,2795900000.0,,2795900000.0
Chuyển sang hàng tồn kho,Nguyên giá > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(3.913.993.558),-,-,(3.913.993.558),-3913993558.0,,,-3913993558.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,-,28.806.476.162,412.500.000,29.218.976.162,,28806476162.0,412500000.0,29218976162.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã khấu hao hết nhưng vấn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vấn còn sử dụng,Đã khấu hao hết nhưng vấn còn sử dụng,-,4.736.562.331,412.500.000,5.149.062.331,,4736562331.0,412500000.0,5149062331.0
