row_label_raw,row_label_full,Băng cân đối kế toán hợp nhất (số đầu năm),Mã số > Băng cân đối kế toán hợp nhất (số đầu năm),Số liệu trước điều chỉnh > Băng cân đối kế toán hợp nhất (số đầu năm),Các điều chỉnh > Băng cân đối kế toán hợp nhất (số đầu năm),Số liệu sau điều chỉnh > Băng cân đối kế toán hợp nhất (số đầu năm),numeric__Mã số > Băng cân đối kế toán hợp nhất (số đầu năm),numeric__Số liệu trước điều chỉnh > Băng cân đối kế toán hợp nhất (số đầu năm),numeric__Các điều chỉnh > Băng cân đối kế toán hợp nhất (số đầu năm),numeric__Số liệu sau điều chỉnh > Băng cân đối kế toán hợp nhất (số đầu năm)
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,28.374.546.566,7.369.482.684,35.744.029.250,313.0,28374546566.0,7369482684.0,35744029250.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,282.529.571.822,(36.847.413.418),245.682.158.404,315.0,282529571822.0,-36847413418.0,245682158404.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,439.344.089.005,29.477.930.734,468.822.019.739,421.0,439344089005.0,29477930734.0,468822019739.0
