row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm,Số tiền vay đã trả trong năm,Kết chuyển sang vay và nợ ngắn hạn,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm,numeric__Số tiền vay đã trả trong năm,numeric__Kết chuyển sang vay và nợ ngắn hạn,numeric__Số cuối năm
Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,546.780.960.000,895.686.384.578,(189.676.462.584),(62.396.956.490),1.190.393.925.504,546780960000.0,895686384578.0,-189676462584.0,-62396956490.0,1190393925504.0
Cộng,Cộng,Cộng,546.780.960.000,895.686.384.578,(189.676.462.584),(62.396.956.490),1.190.393.925.504,546780960000.0,895686384578.0,-189676462584.0,-62396956490.0,1190393925504.0
