row_label_raw,row_label_full,Tên công ty,Địa chí trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ lợi ích,Tỷ lệ lợi ích_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Địa chí trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ lợi ích_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Địa chí trụ sở chính,Hoạt động kinh doanh chính,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,
Công ty TNHH MTVKhách sạn Becamex,Tên công ty > Công ty TNHH MTVKhách sạn Becamex,Công ty TNHH MTVKhách sạn Becamex,"Becamex Hotel, 230 Đạilộ Bình Dương, PhườngPhú Lợi, TP. Hồ ChíMinh, Việt Nam","Kinh doanh nhà hàng và các dịch vụ ăn uống, tổ chức sự kiện, các dịch vụ khách sạn, đại lý vé máy bay, tàu hoà.",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
Công ty TNHH MTVXây dựng IJC (trướcđầy là Công ty TNHHMTV Thương mạiBecamex),Tên công ty > Công ty TNHH MTVXây dựng IJC (trướcđầy là Công ty TNHHMTV Thương mạiBecamex),Công ty TNHH MTVXây dựng IJC (trướcđầy là Công ty TNHHMTV Thương mạiBecamex),"Becamex Tower, 230 Đạilộ Bình Dương, PhườngPhú Lợi, TP. Hồ ChíMinh, Việt Nam","Kinh doanh hoạt động trung tâm thương mại, du lịch, vân tài hành khách, đại lý vé máy bay, tàu hoà.",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
Công ty TNHH MTVWTC Bình Dương (*),Tên công ty > Công ty TNHH MTVWTC Bình Dương (*),Công ty TNHH MTVWTC Bình Dương (*),"B11, Hùng Vương, Phường Bình Dương, TP.Hồ Chí Minh, Việt Nam","Hoạt động tư vấn quản lý,quảng cáo, tổ chức giới thiệu và xúc tiến thương mại.",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
