row_label_raw,row_label_full,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Năm nay > Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Năm trước > Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,numeric__Năm nay > Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,numeric__Năm trước > Công ty Cổ phần Công nghệ & Truyền thông Việt Nam
Thi công hạ tầng,Thi công hạ tầng,Thi công hạ tầng,-,7.988.240.000,,7988240000.0
"Mua vật tư, thiết bị","Mua vật tư, thiết bị","Mua vật tư, thiết bị",4.068.956.734,1.809.477.616,4068956734.0,1809477616.0
"Mua tài sản , dịch vụ, phần mềm","Mua tài sản , dịch vụ, phần mềm","Mua tài sản , dịch vụ, phần mềm",882.047.411,1.041.225.397,882047411.0,1041225397.0
"Mua công cụ, dụng cụ","Mua công cụ, dụng cụ","Mua công cụ, dụng cụ",67.645.000,86.910.000,67645000.0,86910000.0
Mua tài sản cố định,Mua tài sản cố định,Mua tài sản cố định,-,298.864.000,,298864000.0
Cổ tức được chia,Cổ tức được chia,Cổ tức được chia,1.530.000.000,1.190.000.000,1530000000.0,1190000000.0
Công ty Cổ Phần Bệnh viện Đa khoa Quốc tế Becamex,Công ty Cổ Phần Bệnh viện Đa khoa Quốc tế Becamex,Công ty Cổ Phần Bệnh viện Đa khoa Quốc tế Becamex,Công ty Cổ Phần Bệnh viện Đa khoa Quốc tế Becamex,Công ty Cổ Phần Bệnh viện Đa khoa Quốc tế Becamex,,
Cổ tức được chia,Công ty Cổ Phần Bệnh viện Đa khoa Quốc tế Becamex > Cổ tức được chia,Cổ tức được chia,1.500.000.000,-,1500000000.0,
Nhận cung cấp dịch vụ,Công ty Cổ Phần Bệnh viện Đa khoa Quốc tế Becamex > Nhận cung cấp dịch vụ,Nhận cung cấp dịch vụ,593.180.000,1.167.000,593180000.0,1167000.0
Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,,
Thi công công trình,Công ty Cổ phần Xây dựng và Giao thông Bình Dương > Thi công công trình,Thi công công trình,23.267.020.334,-,23267020334.0,
Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,,
"Mua hàng hoá, dịch vụ","Công ty Cổ phần Kinh doanh và Phát triển Bình Dương > Mua hàng hoá, dịch vụ","Mua hàng hoá, dịch vụ",-,7.486.935.424,,7486935424.0
Công ty TNHH Dịch vụ và Xây dựng Tấn Hảo Phát,Công ty TNHH Dịch vụ và Xây dựng Tấn Hảo Phát,Công ty TNHH Dịch vụ và Xây dựng Tấn Hảo Phát,Công ty TNHH Dịch vụ và Xây dựng Tấn Hảo Phát,Công ty TNHH Dịch vụ và Xây dựng Tấn Hảo Phát,,
Thu tiến điện,Công ty TNHH Dịch vụ và Xây dựng Tấn Hảo Phát > Thu tiến điện,Thu tiến điện,17.149.554,-,17149554.0,
"Mua hàng hoá, dịch vụ","Công ty TNHH Dịch vụ và Xây dựng Tấn Hảo Phát > Mua hàng hoá, dịch vụ","Mua hàng hoá, dịch vụ",12.934.599.868,-,12934599868.0,
Công ty Cổ phần Bệnh viện Mỹ Phước,Công ty Cổ phần Bệnh viện Mỹ Phước,Công ty Cổ phần Bệnh viện Mỹ Phước,Công ty Cổ phần Bệnh viện Mỹ Phước,Công ty Cổ phần Bệnh viện Mỹ Phước,,
Nhận cung cấp dịch vụ,Công ty Cổ phần Bệnh viện Mỹ Phước > Nhận cung cấp dịch vụ,Nhận cung cấp dịch vụ,157.982.400,156.070.800,157982400.0,156070800.0
Chi nhánh Công ty Cổ phần Kinh doanh và Phát triển Bình Dương - Xí nghiệp Bê tông trộn sẵn Mỹ Phước,Chi nhánh Công ty Cổ phần Kinh doanh và Phát triển Bình Dương - Xí nghiệp Bê tông trộn sẵn Mỹ Phước,Chi nhánh Công ty Cổ phần Kinh doanh và Phát triển Bình Dương - Xí nghiệp Bê tông trộn sẵn Mỹ Phước,Chi nhánh Công ty Cổ phần Kinh doanh và Phát triển Bình Dương - Xí nghiệp Bê tông trộn sẵn Mỹ Phước,Chi nhánh Công ty Cổ phần Kinh doanh và Phát triển Bình Dương - Xí nghiệp Bê tông trộn sẵn Mỹ Phước,,
Chi phí mua nguyên vật liệu,Chi nhánh Công ty Cổ phần Kinh doanh và Phát triển Bình Dương - Xí nghiệp Bê tông trộn sẵn Mỹ Phước > Chi phí mua nguyên vật liệu,Chi phí mua nguyên vật liệu,1.503.648.150,-,1503648150.0,
Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty Cổ phần Vật liệu Xây dựng Becamex,Công ty Cổ phần Vật liệu Xây dựng Becamex,,
Chi phí mua nguyên vật liệu,Công ty Cổ phần Vật liệu Xây dựng Becamex > Chi phí mua nguyên vật liệu,Chi phí mua nguyên vật liệu,348.202.756,-,348202756.0,
Công ty TNHH Becamex Tokyu,Công ty TNHH Becamex Tokyu,Công ty TNHH Becamex Tokyu,Công ty TNHH Becamex Tokyu,Công ty TNHH Becamex Tokyu,,
Nhận cung cấp dịch vụ,Công ty TNHH Becamex Tokyu > Nhận cung cấp dịch vụ,Nhận cung cấp dịch vụ,4.700.000,-,4700000.0,
Công ty TNHH Xe buýt Becamex Tokyu,Công ty TNHH Xe buýt Becamex Tokyu,Công ty TNHH Xe buýt Becamex Tokyu,Công ty TNHH Xe buýt Becamex Tokyu,Công ty TNHH Xe buýt Becamex Tokyu,,
Nhận cung cấp dịch vụ,Công ty TNHH Xe buýt Becamex Tokyu > Nhận cung cấp dịch vụ,Nhận cung cấp dịch vụ,27.759.257,-,27759257.0,
