row_label_raw,row_label_full,col_0,Lĩnh vực bán vế câu đường,Lĩnh vực kinh doanh bắt động sản,Lĩnh vực kinh doanh bắt động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán vế câu đường,numeric__Lĩnh vực kinh doanh bắt động sản,numeric__Lĩnh vực kinh doanh bắt động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,331.885.654.059,980.111.804.591,41.891.675.145,-,-,252.686.623.436,1.606.575.757.231,331885654059.0,980111804591.0,41891675145.0,,,252686623436.0,1606575757231.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,-,-,-,-,-,-,-,,,,,,,
Tổng doanh thu thuân về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuân về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuân về bán hàng và cung cấp dịch vụ,331.885.654.059,980.111.804.591,41.891.675.145,-,-,252.686.623.436,1.606.575.757.231,331885654059.0,980111804591.0,41891675145.0,,,252686623436.0,1606575757231.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,209.812.402.069,284.484.598.196,19.357.621.037,-,-,24.590.796.188,538.245.417.490,209812402069.0,284484598196.0,19357621037.0,,,24590796188.0,538245417490.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,-,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,538.245.417.490,,,,,,,538245417490.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,15.290.561.147,,,,,,,15290561147.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,-,,,,,,,
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Chi phí tài chính > Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,,,,84.884.566.039,,,,,,,84884566039.0
Thu nhập khác,Chi phí tài chính > Thu nhập khác,Thu nhập khác,,,,,,,92.238.583.155,,,,,,,92238583155.0
Chi phí khác,Chi phí tài chính > Chi phí khác,Chi phí khác,,,,,,,(22.864.705.916),,,,,,,-22864705916.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí tài chính > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,(110.440.042.518),,,,,,,-110440042518.0
Chi phí thuế thu nhập doanh nghiệp hoãn lai,Chi phí thuế thu nhập doanh nghiệp hoãn lai,Chi phí thuế thu nhập doanh nghiệp hoãn lai,,,,,,,-,,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lai > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,597.354.379.397,,,,,,,597354379397.0
Tổng cải phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hoãn lai > Tổng cải phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng cải phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,10.977.532.429,12.798.159.934,884.550.644,-,-,7.574.401.790,32.234.644.797,10977532429.0,12798159934.0,884550644.0,,,7574401790.0,32234644797.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hoãn lai > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,68.959.411.174,3.822.034.442,10.250.289.780,-,-,4.040.185.781,87.071.921.177,68959411174.0,3822034442.0,10250289780.0,,,4040185781.0,87071921177.0
Tổng giá trị các khoản chi phí lớn không bằng tiền (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),Tổng giá trị các khoản chi phí lớn không bằng tiền (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),Tổng giá trị các khoản chi phí lớn không bằng tiền (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),-,-,-,-,-,-,-,,,,,,,
