row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.518.325.090.000,211.326.226.000,10.801.285.907,616.310.109.226,466.824.126.039,3.823.586.837.172,2518325090000.0,211326226000.0,10801285907.0,616310109226.0,466824126039.0,3823586837172.0
Điều chính hồi tố,Điều chính hồi tố,Điều chính hồi tố,-,-,-,-,29.477.930.734,29.477.930.734,,,,,29477930734.0,29477930734.0
Số dư đầu năm trước sau điều chỉnh hồi tố,Số dư đầu năm trước sau điều chỉnh hồi tố,Số dư đầu năm trước sau điều chỉnh hồi tố,2.518.325.090.000,211.326.226.000,10.801.285.907,616.310.109.226,496.302.056.773,3.853.064.767.906,2518325090000.0,211326226000.0,10801285907.0,616310109226.0,496302056773.0,3853064767906.0
Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,1.259.158.750.000,-,-,-,-,1.259.158.750.000,1259158750000.0,,,,,1259158750000.0
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,-,-,354.137.893.485,354.137.893.485,,,,,354137893485.0,354137893485.0
Trích lập các quỹ trong năm trước,Trích lập các quỹ trong năm trước,Trích lập các quỹ trong năm trước,-,-,-,115.350.550.949,(145.686.375.174),(30.335.824.225),,,,115350550949.0,-145686375174.0,-30335824225.0
Chia cổ tức trong năm trước,Chia cổ tức trong năm trước,Chia cổ tức trong năm trước,-,-,-,-,(264.423.868.800),(264.423.868.800),,,,,-264423868800.0,-264423868800.0
Ảnh hưởng do thay đổi tỷ lệ sở hữu tại công ty liên kết năm trước,Ảnh hưởng do thay đổi tỷ lệ sở hữu tại công ty liên kết năm trước,Ảnh hưởng do thay đổi tỷ lệ sở hữu tại công ty liên kết năm trước,-,-,-,-,9.311.980.162,9.311.980.162,,,,,9311980162.0,9311980162.0
Hoàn trả nguồn quỹ về Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Hoàn trả nguồn quỹ về Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Hoàn trả nguồn quỹ về Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,-,-,-,(19.180.333.293),19.180.333.293,-,,,,-19180333293.0,19180333293.0,
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.777.483.840.000,211.326.226.000,10.801.285.907,712.480.326.882,468.822.019.739,5.180.913.698.528,3777483840000.0,211326226000.0,10801285907.0,712480326882.0,468822019739.0,5180913698528.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.777.483.840.000,211.326.226.000,10.801.285.907,712.480.326.882,439.344.089.005,5.151.435.767.794,3777483840000.0,211326226000.0,10801285907.0,712480326882.0,439344089005.0,5151435767794.0
Điều chính hồi tố,Điều chính hồi tố,Điều chính hồi tố,-,-,-,-,29.477.930.734,29.477.930.734,,,,,29477930734.0,29477930734.0
Số dư đầu năm nay sau điều chỉnh hồi tố,Số dư đầu năm nay sau điều chỉnh hồi tố,Số dư đầu năm nay sau điều chỉnh hồi tố,3.777.483.840.000,211.326.226.000,10.801.285.907,712.480.326.882,468.822.019.739,5.180.913.698.528,3777483840000.0,211326226000.0,10801285907.0,712480326882.0,468822019739.0,5180913698528.0
Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,2.518.322.560.000,-,-,-,-,2.518.322.560.000,2518322560000.0,,,,,2518322560000.0
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,-,597.354.379.397,597.354.379.397,,,,,597354379397.0,597354379397.0
Trích lập các quỹ trong năm nay,Trích lập các quỹ trong năm nay,Trích lập các quỹ trong năm nay,-,-,-,53.836.649.542,(77.791.269.144),(23.954.619.602),,,,53836649542.0,-77791269144.0,-23954619602.0
Chia cổ tức trong năm nay,Chia cổ tức trong năm nay,Chia cổ tức trong năm nay,-,-,-,-,(188.874.192.000),(188.874.192.000),,,,,-188874192000.0,-188874192000.0
Điều chính khác,Điều chính khác,Điều chính khác,-,-,-,-,(19.452.434.281),(19.452.434.281),,,,,-19452434281.0,-19452434281.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,6.295.806.400.000,211.326.226.000,10.801.285.907,766.316.976.424,780.058.503.711,8.064.309.392.042,6295806400000.0,211326226000.0,10801285907.0,766316976424.0,780058503711.0,8064309392042.0
