row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dưvốn cổ phần,Vốn khác thuộcchủ sở hữu,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,Lợi ích cổ đôngkhông kiểm soát,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thăng dưvốn cổ phần,numeric__Vốn khác thuộcchủ sở hữu,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__Lợi ích cổ đôngkhông kiểm soát,numeric__VNDTổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,5.741.031.240.000,4.503.548.710,24.503.464.043,6.193.919.585,89.978.362.170,2.236.733.731.109,8.102.944.265.617,5741031240000.0,4503548710.0,24503464043.0,6193919585.0,89978362170.0,2236733731109.0,8102944265617.0
Cổ phiếu theo chương trình lưachon cho người lao động (*),Năm nay > Cổ phiếu theo chương trình lưachon cho người lao động (*),Cổ phiếu theo chương trình lưachon cho người lao động (*),50.000.000.000,-,-,-,(50.000.000.000),-,-,50000000000.0,,,,-50000000000.0,,
Góp vốn từ cổ đôngkhông kiểm soát,Năm nay > Góp vốn từ cổ đôngkhông kiểm soát,Góp vốn từ cổ đôngkhông kiểm soát,-,-,-,-,-,6.450.000.000,6.450.000.000,,,,,,6450000000.0,6450000000.0
Lợi nhuận thuàntrong năm,Năm nay > Lợi nhuận thuàntrong năm,Lợi nhuận thuàntrong năm,-,-,-,-,140.670.849.757,107.408.459.617,248.079.309.374,,,,,140670849757.0,107408459617.0,248079309374.0
Cổ tức trả cho cổ đôngkhông kiểm soát,Năm nay > Cổ tức trả cho cổ đôngkhông kiểm soát,Cổ tức trả cho cổ đôngkhông kiểm soát,-,-,-,-,-,(3.700.500.219),(3.700.500.219),,,,,,-3700500219.0,-3700500219.0
"Trích quỹ khen thưởng,phúc lợi","Năm nay > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,(474.517.403),(325.322.167),(799.839.570),,,,,-474517403.0,-325322167.0,-799839570.0
Thay đổi lệ sở hữu tại cáccông ty con,Năm nay > Thay đổi lệ sở hữu tại cáccông ty con,Thay đổi lệ sở hữu tại cáccông ty con,-,-,-,-,5.571.480.369,(42.425.486.434),(36.854.006.065),,,,,5571480369.0,-42425486434.0,-36854006065.0
Tăng khác,Năm nay > Tăng khác,Tăng khác,-,-,-,-,293.598.342,-,293.598.342,,,,,293598342.0,,293598342.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,5.791.031.240.000,4.503.548.710,24.503.464.043,6.193.919.585,186.039.773.235,2.304.140.881.906,8.316.412.827.479,5791031240000.0,4503548710.0,24503464043.0,6193919585.0,186039773235.0,2304140881906.0,8316412827479.0
