row_label_raw,row_label_full,col_0,Dịch vụ bắt động sản,Đầu tư và phát triển dự án bắt động sản,Loại trừ,Tổng cộng,numeric__Dịch vụ bắt động sản,numeric__Đầu tư và phát triển dự án bắt động sản,numeric__Loại trừ,numeric__Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,
Doanh thu hoạt động kinh doanh,Doanh thu thuần > Doanh thu hoạt động kinh doanh,Doanh thu hoạt động kinh doanh,926.349.623.236,1.249.062.495.732,(178.007.741.420),1.997.404.377.548,926349623236.0,1249062495732.0,-178007741420.0,1997404377548.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả hoạt động kinh doanh > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,400.980.564.054,308.389.631.790,931.971.434,710.302.167.278(603.838.057.024),400980564054.0,308389631790.0,931971434.0,
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,106.464.110.254(107.143.370.368),,,,
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,47.665.734.279(134.239.550.690),,,,
"Lỗ từ công ty liên doanh, liên kết","Lợi nhuận từ hoạt động kinh doanh > Lỗ từ công ty liên doanh, liên kết","Lỗ từ công ty liên doanh, liên kết",,,,7.715.945.186,,,,7715945186.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,,,,,
Lỗ trước thuế,Lỗ trước thuế,Lỗ trước thuế,,,,(79.537.131.339)(29.952.562.262),,,,
Chi phí thuế TNDN,Lỗ trước thuế > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,(50.772.218.010),,,,-50772218010.0
Chi phí thuế TNDN hoãn lại,Lỗ trước thuế > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,(160.261.911.611),,,,-160261911611.0
Lỗ thuần sau thuế,Lỗ trước thuế > Lỗ thuần sau thuế,Lỗ thuần sau thuế,,,,7.858.180.853,,,,7858180853.0
Lợi nhuận sau thuế cổ đông không kiểm soát,Lỗ trước thuế > Lợi nhuận sau thuế cổ đông không kiểm soát,Lợi nhuận sau thuế cổ đông không kiểm soát,,,,(168.120.092.464),,,,-168120092464.0
Lỗ sau thuế công ty mẹ,Lỗ sau thuế công ty mẹ,Lỗ sau thuế công ty mẹ,,,,,,,,
Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,11.708.931.728.454,4.348.617.996.037,(1.024.634.944.644),15.032.914.779.847424.205.151.557,11708931728454.0,4348617996037.0,-1024634944644.0,1.5032914779847424e+25
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,
Tổng tài sản,Tài sản không phân bổ > Tổng tài sản,Tổng tài sản,,,,15.457.119.931.404,,,,15457119931404.0
Công nợ bộ phận,Tài sản không phân bổ > Công nợ bộ phận,Công nợ bộ phận,5.354.365.434.659,2.449.028.078.021,(980.500.477.052),6.822.893.035.628531.282.630.159,5354365434659.0,2449028078021.0,-980500477052.0,6.822893035628532e+24
Công nợ không phân bổ,Công nợ không phân bổ,Công nợ không phân bổ,,,,,,,,
Tổng công nợ,Công nợ không phân bổ > Tổng công nợ,Tổng công nợ,,,,7.354.175.665.787,,,,7354175665787.0
