row_label_raw,row_label_full,Số đầu năm > Khấu hao trong năm,(3.028.176.321) > (1.497.870.080),numeric__(3.028.176.321) > (1.497.870.080)
Chuyển từ TSCĐ hữu hình,Chuyển từ TSCĐ hữu hình,Chuyển từ TSCĐ hữu hình,(1.441.317.782),-1441317782.0
Số cuối năm,Số cuối năm,Số cuối năm,(5.967.364.183),-5967364183.0
