row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ lợi ích %,Số cuối năm > Giá trị ghi số VND,Số đầu năm > Tỷ lệ lợi ích %,Số đầu năm > Giá trị ghi số VND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ lợi ích %,numeric__Số cuối năm > Giá trị ghi số VND,numeric__Số đầu năm > Tỷ lệ lợi ích %,numeric__Số đầu năm > Giá trị ghi số VND
Công ty TNHH Đầu tư Kinh doanh BĐSAnh (i),Công ty TNHH Đầu tư Kinh doanh BĐSAnh (i),Công ty TNHH Đầu tư Kinh doanh BĐSAnh (i),Kinh doanh BĐS,30,49.143.298.420,-,-,,30.0,49143298420.0,,
Công ty TNHH Đầu tư Lê Gia Newland (ii),Công ty TNHH Đầu tư Lê Gia Newland (ii),Công ty TNHH Đầu tư Lê Gia Newland (ii),Kinh doanh BĐS,50,39.255.468.825,40,31.589.491.209,,50.0,39255468825.0,40.0,31589491209.0
Công ty TNHH Tư vấn & Đầu tư Tadugo (iii),Công ty TNHH Tư vấn & Đầu tư Tadugo (iii),Công ty TNHH Tư vấn & Đầu tư Tadugo (iii),Kinh doanh và môi giới BĐS,25,25.000.000.000,-,-,,25.0,25000000000.0,,
Công ty Cổ phần Bất Đông Sản Indochine,Công ty Cổ phần Bất Đông Sản Indochine,Công ty Cổ phần Bất Đông Sản Indochine,Kinh doanh và môi giới BĐS,28,2.396.895.164,-,-,,28.0,2396895164.0,,
Công ty Cổ phần Nhà Ô Ngay Reco,Công ty Cổ phần Nhà Ô Ngay Reco,Công ty Cổ phần Nhà Ô Ngay Reco,Kinh doanh và môi giới BĐS,25,1.004.462.930,-,-,,25.0,1004462930.0,,
Công ty Cổ phần Sight Realty,Công ty Cổ phần Sight Realty,Công ty Cổ phần Sight Realty,Kinh doanh và môi giới BĐS,25,83.159.021,-,-,,25.0,83159021.0,,
Công ty Cổ phần Vision Realty,Công ty Cổ phần Vision Realty,Công ty Cổ phần Vision Realty,Kinh doanh và môi giới BĐS,36,23.263.621,-,-,,36.0,23263621.0,,
Công ty Cổ phần Landtogo,Công ty Cổ phần Landtogo,Công ty Cổ phần Landtogo,Kinh doanh và môi giới BĐS,36,16.925.249,-,-,,36.0,16925249.0,,
Công ty Cổ phần Houzz Agent,Công ty Cổ phần Houzz Agent,Công ty Cổ phần Houzz Agent,Kinh doanh và môi giới BĐS,36,7.918.975,-,-,,36.0,7918975.0,,
Công ty Cổ phần Bất Đông Sản Đất Phước Thịnh,Công ty Cổ phần Bất Đông Sản Đất Phước Thịnh,Công ty Cổ phần Bất Đông Sản Đất Phước Thịnh,Kinh doanh và môi giới BĐS,36,5.706.400,-,-,,36.0,5706400.0,,
Đất xanh Miền Nam,Đất xanh Miền Nam,Đất xanh Miền Nam,Kinh doanh và môi giới BĐS,49,-,49,37.392.262.891,,49.0,,49.0,37392262891.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,116.937.098.605,,68.981.754.100,,,116937098605.0,,68981754100.0
