row_label_raw,row_label_full,Ông Nguyễn Trường Sơn,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Trần Quốc Thịnh,Ông Trần Quốc Thịnh,Ông Trần Quốc Thịnh,Phó Chủ tịch,,,
Ông Hà Đức Hiếu,Ông Hà Đức Hiếu,Ông Hà Đức Hiếu,Thành viên,,,
Ông Phạm Anh Khôi,Ông Phạm Anh Khôi,Ông Phạm Anh Khôi,Thành viên,từ nhiệm ngày 19 tháng 7 năm 2024,,
Ông Trần Thanh Tân,Ông Trần Thanh Tân,Ông Trần Thanh Tân,Thành viên độc lập,,,
