row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dưvốn cổ phần,Vốn khác thuộcchủ sở hữu,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,Lợi ích cổ đôngkhông kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dưvốn cổ phần,numeric__Vốn khác thuộcchủ sở hữu,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__Lợi ích cổ đôngkhông kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,4.531.223.770.000,804.503.548.710,24.503.464.043,6.193.919.585,679.563.765.370,2.238.895.396.778,8.284.883.864.486,4531223770000.0,804503548710.0,24503464043.0,6193919585.0,679563765370.0,2238895396778.0,8284883864486.0
Tăng vốn,Năm trước > Tăng vốn,Tăng vốn,1.209.807.470.000,(800.000.000.000),-,-,(409.807.470.000),-,-,1209807470000.0,-800000000000.0,,,-409807470000.0,,
Góp vốn từ cổ đôngkhông kiểm soát,Năm trước > Góp vốn từ cổ đôngkhông kiểm soát,Góp vốn từ cổ đôngkhông kiểm soát,-,-,-,-,-,57.658.000.001,57.658.000.001,,,,,,57658000001.0,57658000001.0
Trả lại vốn góp cho cổđông không kiểm soát,Năm trước > Trả lại vốn góp cho cổđông không kiểm soát,Trả lại vốn góp cho cổđông không kiểm soát,-,-,-,-,-,(3.920.000.000),(3.920.000.000),,,,,,-3920000000.0,-3920000000.0
Lỗ thuầntrong năm,Năm trước > Lỗ thuầntrong năm,Lỗ thuầntrong năm,-,-,-,-,(168.120.092.464),7.858.180.853,(160.261.911.611),,,,,-168120092464.0,7858180853.0,-160261911611.0
Cổ tức trả cho cổ đôngkhông kiểm soát,Năm trước > Cổ tức trả cho cổ đôngkhông kiểm soát,Cổ tức trả cho cổ đôngkhông kiểm soát,-,-,-,-,-,(48.177.834.000),(48.177.834.000),,,,,,-48177834000.0,-48177834000.0
"Trích quỹ khen thưởng,phúc lợi","Năm trước > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,(12.118.714.611),(2.799.725.021),(14.918.439.632),,,,,-12118714611.0,-2799725021.0,-14918439632.0
Thay đổi tỉ lệ sở hữu tạicác công ty con,Năm trước > Thay đổi tỉ lệ sở hữu tạicác công ty con,Thay đổi tỉ lệ sở hữu tạicác công ty con,-,-,-,-,481.034.423,(12.084.260.874),(11.603.226.451),,,,,481034423.0,-12084260874.0,-11603226451.0
Giảm do thanh lýcông ty con,Năm trước > Giảm do thanh lýcông ty con,Giảm do thanh lýcông ty con,-,-,-,-,-,(696.026.628),(696.026.628),,,,,,-696026628.0,-696026628.0
Giảm khác,Năm trước > Giảm khác,Giảm khác,-,-,-,-,(20.160.548),-,(20.160.548),,,,,-20160548.0,,-20160548.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,5.741.031.240.000,4.503.548.710,24.503.464.043,6.193.919.585,89.978.362.170,2.236.733.731.109,8.102.944.265.617,5741031240000.0,4503548710.0,24503464043.0,6193919585.0,89978362170.0,2236733731109.0,8102944265617.0
