row_label_raw,row_label_full,STT,Tên công ty con,Tên viết tắt,Lĩnh vực kinh doanh,Tỉnh trang hoạt động,Tỷ lệ biểu quyết (%),numeric__Tên công ty con,numeric__Tên viết tắt,numeric__Lĩnh vực kinh doanh,numeric__Tỉnh trang hoạt động,numeric__Tỷ lệ biểu quyết (%)
41,41,41,Công ty cổ phần Công nghệ Ihouzz (trước đây là Công ty Cổ phần Công Nghệ Thông tin Bất động sản Việt Nam),Ihouzz,Phát triển công nghệ,Đang hoạt động,53,,,,,53.0
42,42,42,Công ty Cổ phần Tư vấn Đầu tư S-Advices,S-Advices,"Tư vấn quản lý, đầu tư",Đang hoạt động,98,,,,,98.0
43,43,43,Công ty TNHH Tư vấn S-Media,S-Media,Truyền thông quảng cáo,Đang hoạt động,99,,,,,99.0
44,44,44,Công ty Cổ phần Dịch vụ Tài chính Bất động sản Tulip,Tulip,Dịch vụ tài chính,Đang hoạt động,60,,,,,60.0
45,45,45,Công ty TNHH S-O Farm,S-O Farm,Nông nghiệp,Đang hoạt động,98,,,,,98.0
46,46,46,Công ty TNHH Công Nghệ S-Tech,S-Tech,Phát triển công nghệ,Đang hoạt động,100,,,,,100.0
47,47,47,Công ty TNHH Regal Food,Regal Food,Bán lẻ thực phẩm,Đang hoạt động,100,,,,,100.0
48,48,48,Công ty TNHH Nông nghiệp Lifarm,Lifarm,Nông nghiệp,Đang hoạt động,100,,,,,100.0
49,49,49,Công ty TNHH MTV Regal Hotel & Resort,REHR,"Nhà hàng, khách sạn",Đang hoạt động,100,,,,,100.0
50,50,50,Công ty Cổ Phần Thương mại Dịch vụ Việt Nhật Cares,Việt Nhật Cares,Vệ sinh chung nhà cửa,Đang hoạt động,51,,,,,51.0
51,51,51,Công ty Cổ Phần Đất Xanh Commercial,Commercial,"Tư vấn, môi giới, đấu giá BĐS, QSĐĐ",Đang hoạt động,70,,,,,70.0
