row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,13.416.241.453,14.548.659.656,(1.132.418.202),(2.706.088.532),13416241453.0,14548659656.0,-1132418202.0,-2706088532.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,72.099.115,465.655.639,(393.556.524),(16.832.059.100),72099115.0,465655639.0,-393556524.0,-16832059100.0
Dự phòng các khoản phải thu,Tài sản thuế thu nhập hoãn lại > Dự phòng các khoản phải thu,Dự phòng các khoản phải thu,1.589.865.829,1.622.822.331,(32.956.503),(6.998.829.950),1589865829.0,1622822331.0,-32956503.0,-6998829950.0
Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng,Tài sản thuế thu nhập hoãn lại > Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng,Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng,4.241.371.703,2.426.073.569,1.815.298.134,2.418.490.833,4241371703.0,2426073569.0,1815298134.0,2418490833.0
,,,19.319.578.100,19.063.211.195,,,19319578100.0,19063211195.0,,
Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại,,,,
Dự phòng các khoản đầu tư,Thuế thu nhập hoãn lại > Dự phòng các khoản đầu tư,Dự phòng các khoản đầu tư,(59.713.343.750),(51.193.147.041),(8.520.196.709),(26.653.731.261),-59713343750.0,-51193147041.0,-8520196709.0,-26653731261.0
Chi phí phải trả,Thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,(6.651.785),(6.651.785),-,-,-6651785.0,-6651785.0,,
Dự phòng các khoản phải thu,Thuế thu nhập hoãn lại > Dự phòng các khoản phải thu,Dự phòng các khoản phải thu,(1.135.103.333),(721.551.666),(413.551.667),-,-1135103333.0,-721551666.0,-413551667.0,
,,,(60.855.098.868),(51.921.350.492),,,-60855098868.0,-51921350492.0,,
Chi phí thuế TNDN hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại > Chi phí thuế TNDN hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Chi phí thuế TNDN hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Chi phí thuế TNDN hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Chi phí thuế TNDN hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,(8.677.381.471),(50.772.218.010),,,-8677381471.0,-50772218010.0
