row_label_raw,row_label_full,Ngân hàng > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Thăng Long > Khoản vay 1 > Khoản vay 2,Số cuối năm(VND) > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Thăng Long > 4.117.231.187 > 1.032.768.813,Kỳ hạn trả gốc > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Thăng Long > Ngày 24 tháng 12 năm 2029 > Ngày 24 tháng 12 năm 2025,Mục đích vay > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Thăng Long > Mua tài sản,Hình thức đảm bảo > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Thăng Long > Phương tiện vận tải,numeric__Số cuối năm(VND) > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Thăng Long > 4.117.231.187 > 1.032.768.813,numeric__Kỳ hạn trả gốc > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Thăng Long > Ngày 24 tháng 12 năm 2029 > Ngày 24 tháng 12 năm 2025,numeric__Mục đích vay > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Thăng Long > Mua tài sản,numeric__Hình thức đảm bảo > Ngân hàng Thương mại Cổ phần Công thương Việt Nam – Chi nhánh Thăng Long > Phương tiện vận tải
,,,5.150.000.000,,,,5150000000.0,,,
Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,1.032.768.813,,,,1032768813.0,,,
Ngân hàng Thương mại Cổ phần Tiên Phong – Chi nhánh Hoàn Kiểm,Ngân hàng Thương mại Cổ phần Tiên Phong – Chi nhánh Hoàn Kiểm,Ngân hàng Thương mại Cổ phần Tiên Phong – Chi nhánh Hoàn Kiểm,Ngân hàng Thương mại Cổ phần Tiên Phong – Chi nhánh Hoàn Kiểm,Ngân hàng Thương mại Cổ phần Tiên Phong – Chi nhánh Hoàn Kiểm,Ngân hàng Thương mại Cổ phần Tiên Phong – Chi nhánh Hoàn Kiểm,Ngân hàng Thương mại Cổ phần Tiên Phong – Chi nhánh Hoàn Kiểm,,,,
Khoản vay 1,Ngân hàng Thương mại Cổ phần Tiên Phong – Chi nhánh Hoàn Kiểm > Khoản vay 1,Khoản vay 1,1.287.504.054,Ngày 29 tháng 1 năm 2028,Mua tài sản,Phương tiện vận tải,1287504054.0,,,
Khoản vay 2,Ngân hàng Thương mại Cổ phần Tiên Phong – Chi nhánh Hoàn Kiểm > Khoản vay 2,Khoản vay 2,1.086.424.908,Ngày 31 tháng 12 năm 2025,Mua tài sản,Phương tiện vận tải,1086424908.0,,,
,,,2.373.928.962,,,,2373928962.0,,,
Trong đó:Vay dài hạn đến hạn trả,Ngân hàng Thương mại Cổ phần Tiên Phong – Chi nhánh Hoàn Kiểm > Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,1.086.424.908,,,,1086424908.0,,,
