row_label_raw,row_label_full,STT,Tên công ty con,Tên viết tắt,Lĩnh vực kinh doanh,Tình trang hoạt động,Tỷ lệ biểu quyết (%),numeric__Tên công ty con,numeric__Tên viết tắt,numeric__Lĩnh vực kinh doanh,numeric__Tình trang hoạt động,numeric__Tỷ lệ biểu quyết (%)
21,21,21,Công ty Cổ phần Phát triển Bất động sản Emerald,BĐS Emerald,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
22,22,22,Công ty TNHH MTV Smart City,Smart City,Kinh doanh BĐS,Đang hoạt động,100,,,,,100.0
23,23,23,Công ty TNHH MTV Phát triển Đô thị Quảng Ngãi,Đô thị Quảng Ngãi,Kinh doanh BĐS,Đang hoạt động,100,,,,,100.0
24,24,24,Công ty TNHH Phát triển Đô thị Quảng Bình,Đô thị Quảng Bình,Kinh doanh BĐS,Đang hoạt động,100,,,,,100.0
25,25,25,Công ty Cổ phần Bất động sản Chín Rồng (Trước đây là Công ty Cổ phần Bất động sản Cần Thơ),BĐS Cần Thơ,Kinh doanh và môi giới BĐS,Đang hoạt động,78,,,,,78.0
26,26,26,Công ty Cổ phần Dịch vụ Bất động sản Nam Miền Tây,BĐS Nam Miền Tây,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
27,27,27,Công ty Cổ phần Bất động sản Bắc Miền Tây,BĐS Bắc Miền Tây,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
28,28,28,Công ty Cổ phần Dịch vụ Bất động sản Duyên Hải Miền Tây,Duyên Hải Miền Tây,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
29,29,29,Công ty TNHH Đầu tư Linkland,Đầu tư Linkland,Kinh doanh và môi giới BĐS,Đang hoạt động,100,,,,,100.0
30,30,30,Công ty Cổ phần Bất động sản Link House,Linkhouse,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
31,31,31,Công ty Cổ phần Bất động sản Link House Miền Trung,Linkhouse Miền Trung,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
32,32,32,Công ty TNHH Đầu tư Xây dựng Ngọc Lễ,Ngọc Lễ,Kinh doanh và môi giới BĐS,Đang hoạt động,"82,29",,,,,82.29
33,33,33,Công ty Cổ phần Đầu tư và Dịch vụ DN Premium,DN Premium,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
34,34,34,Công ty Cổ phần Bất động sản City Invest,City Invest,Kinh doanh và môi giới BĐS,Đang hoạt động,55,,,,,55.0
35,35,35,Công ty Cổ phần Địa ốc Tây Nguyên,Địa Ốc Tây Nguyên,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
36,36,36,Công ty Cổ Phần Dịch Vụ Asahi Luxstay,Asahi Luxstay,Kinh doanh và môi giới BĐS,Đang hoạt động,51,,,,,51.0
37,37,37,Công ty Cổ phần Dịch vụ Bất động sản DMH Group,DMH Group,Kinh doanh BĐS,Đang hoạt động,51,,,,,51.0
38,38,38,Công ty Cổ phần Bất động sản Ecohome,Ecohome,Kinh doanh và môi giới BĐS,Đang hoạt động,"99,80",,,,,99.8
39,39,39,Công ty Cổ phần Propcom,Propcom,Kinh doanh và môi giới BĐS,Đang hoạt động,99,,,,,99.0
40,40,40,Công ty Cổ phần Công nghệ Bất động sản Việt Nam,Công Nghệ BĐS,Phát triển công nghệ,Đang hoạt động,"50,99",,,,,50.99
