row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích thửatrong những năm trước,Năm nay > 84.557.219.136 > 18.382.997,VNDNăm trước > 48.031.519.295 > (18.078.957.033),numeric__Năm nay > 84.557.219.136 > 18.382.997,numeric__VNDNăm trước > 48.031.519.295 > (18.078.957.033)
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,8.677.381.471,50.772.218.010,8677381471.0,50772218010.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,93.252.983.604,80.724.780.272,93252983604.0,80724780272.0
