row_label_raw,row_label_full,Hà An,Tạm hoàn trả cho chủ đầu tư,1.727.478.421.906,2.054.879.750.566,numeric__Tạm hoàn trả cho chủ đầu tư,numeric__1.727.478.421.906,numeric__2.054.879.750.566
Hà An,Hà An,Hà An,Kỳ quỹ môi giới,1.950.650.000.000,1.950.750.000.000,,1950650000000.0,1950750000000.0
Hà An,Hà An,Hà An,Lãi cho vay,12.833.186.804,8.916.942.494,,12833186804.0,8916942494.0
Hà An,Hà An,Hà An,Khác,25.772.610,-,,25772610.0,
Ông Nguyễn Văn Văn,Ông Nguyễn Văn Văn,Ông Nguyễn Văn Văn,"Tiền đặt cọc, ký quỹ dự án",621.397.096.160,642.708.100.000,,621397096160.0,642708100000.0
Charm & CI,Charm & CI,Charm & CI,Kỳ quỹ môi giới dự án,235.000.000.000,235.000.000.000,,235000000000.0,235000000000.0
Ông Nguyễn Hiền Ninh,Ông Nguyễn Hiền Ninh,Ông Nguyễn Hiền Ninh,Kỳ quỹ cung cấp dịch vụ môi giới dự án,202.368.530.652,157.102.239.790,,202368530652.0,157102239790.0
Ông Nguyễn Hiền Ninh,Ông Nguyễn Hiền Ninh,Ông Nguyễn Hiền Ninh,Tạm ứng,-,9.370.000.000,,,9370000000.0
Ông Trần Xuân Thông,Ông Trần Xuân Thông,Ông Trần Xuân Thông,Kỳ quỹ cung cấp dịch vụ môi giới dự án,192.372.991.981,75.050.931.992,,192372991981.0,75050931992.0
Ông Trần Xuân Thông,Ông Trần Xuân Thông,Ông Trần Xuân Thông,Tạm ứng,-,21.187.460.790,,,21187460790.0
Ông Trần Ngọc Thái,Ông Trần Ngọc Thái,Ông Trần Ngọc Thái,Kỳ quỹ cung cấp dịch vụ môi giới dự án,53.324.685.564,36.020.434.781,,53324685564.0,36020434781.0
Ông Trần Ngọc Thái,Ông Trần Ngọc Thái,Ông Trần Ngọc Thái,Tạm ứng,-,60.141.053.193,,,60141053193.0
Ông Trần Hoài Nam,Ông Trần Hoài Nam,Ông Trần Hoài Nam,Hoàn trả bất động sản đã mua,6.375.925.836,-,,6375925836.0,
Ông Trần Hoài Nam,Ông Trần Hoài Nam,Ông Trần Hoài Nam,Tạm ứng,-,216.497.404.027,,,216497404027.0
Hội An,Hội An,Hội An,Kỳ quỹ môi giới dự án,38.150.000.000,38.150.000.000,,38150000000.0,38150000000.0
Hà Thuận Hùng,Hà Thuận Hùng,Hà Thuận Hùng,Tạm hoàn trả cho chủ đầu tư,35.164.513.987,76.432.457.606,,35164513987.0,76432457606.0
Hà Thuận Hùng,Hà Thuận Hùng,Hà Thuận Hùng,Kỳ quỹ môi giới dự án,31.114.000.000,31.114.000.000,,31114000000.0,31114000000.0
DXMN,DXMN,DXMN,Lãi cho vay,1.558.001.568,406.103.300,,1558001568.0,406103300.0
DXMN,DXMN,DXMN,Góp vốn theo HĐHTKD,1.015.472.100,1.015.472.100,,1015472100.0,1015472100.0
DXMN,DXMN,DXMN,Kỳ quỹ môi giới dự án,300.000.000,62.450.000.000,,300000000.0,62450000000.0
DTMB,DTMB,DTMB,"Tiền đặt cọc, ký quỹ dự án",3.300.000.000,3.300.000.000,,3300000000.0,3300000000.0
DXG,DXG,DXG,Chi hộ,2.480.489.982,2.480.489.982,,2480489982.0,2480489982.0
DXG,DXG,DXG,"Tiền đặt cọc, ký quỹ dự án",1.650.000.000,1.950.000.000,,1650000000.0,1950000000.0
,,,,5.116.559.089.150,5.684.922.840.621,,5116559089150.0,5684922840621.0
