row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Ngàn VNDNăm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Ngàn VNDNăm trước
THACO AGRI,THACO AGRI,THACO AGRI,Thu ứng tiền bán hàng hóa,1.764.793.305,-,,1764793305.0,
THACO AGRI,THACO AGRI,THACO AGRI,Ứng trước mua hàng hóa,763.500.000,-,,763500000.0,
THACO AGRI,THACO AGRI,THACO AGRI,Lãi vay,736.381.867,535.779.028,,736381867.0,535779028.0
THACO AGRI,THACO AGRI,THACO AGRI,Bán hàng hóa,550.055.119,368.087.462,,550055119.0,368087462.0
THACO AGRI,THACO AGRI,THACO AGRI,"Mua vật tư, hàng hóa và phí quản lý",541.757.499,390.733.281,,541757499.0,390733281.0
THACO AGRI,THACO AGRI,THACO AGRI,Vay,512.573.527,3.790.420.000,,512573527.0,3790420000.0
THACO AGRI,THACO AGRI,THACO AGRI,Cán trừ công nợ,-,415.995.388,,,415995388.0
THACO AGRI,THACO AGRI,THACO AGRI,Trả gốc vay,-,179.400.000,,,179400000.0
Thaco ID M&E,Thaco ID M&E,Thaco ID M&E,Mua vật tư và hàng hóa,278.379.077,276.912.328,,278379077.0,276912328.0
Bò Trung Nguyên,Bò Trung Nguyên,Bò Trung Nguyên,Mua tài sản,148.015.393,171.904.437,,148015393.0,171904437.0
Bò Trung Nguyên,Bò Trung Nguyên,Bò Trung Nguyên,Bán hàng hóa,41.084,-,,41084.0,
Thadico,Thadico,Thadico,Mua dịch vụ,73.445.910,13.026.239,,73445910.0,13026239.0
Thadico,Thadico,Thadico,Chi hộ,3.303.069,-,,3303069.0,
Thép Chu Lai,Thép Chu Lai,Thép Chu Lai,Mua hàng hóa,44.387.267,14.318.603,,44387267.0,14318603.0
Thép Chu Lai,Thép Chu Lai,Thép Chu Lai,Chi hộ,255.098,-,,255098.0,
Daun Penh,Daun Penh,Daun Penh,Cho mượn,30.039.826,30.619.371,,30039826.0,30619371.0
Daun Penh,Daun Penh,Daun Penh,Thu tiền cho mượn,12.790.238,-,,12790238.0,
Daun Penh,Daun Penh,Daun Penh,Cán trừ công nợ,-,108.384.057,,,108384057.0
Daun Penh,Daun Penh,Daun Penh,Bù trừ nợ gốc vay,-,94.037.261,,,94037261.0
Thaco Linh Kiện Nhựa,Thaco Linh Kiện Nhựa,Thaco Linh Kiện Nhựa,Mua hàng hóa,28.477.586,2.404.249,,28477586.0,2404249.0
Bidiphar,Bidiphar,Bidiphar,Nhận cổ tức,20.915.646,26.144.558,,20915646.0,26144558.0
HA Andong Meas,HA Andong Meas,HA Andong Meas,Cho mượn,7.877.203,101.685.126,,7877203.0,101685126.0
HA Andong Meas,HA Andong Meas,HA Andong Meas,Thu tiền cho mượn,2.585.645,23.072.920,,2585645.0,23072920.0
HA Andong Meas,HA Andong Meas,HA Andong Meas,Bù trừ nợ gốc vay,-,155.672.709,,,155672709.0
HA Andong Meas,HA Andong Meas,HA Andong Meas,Cán trừ công nợ,-,8.357.772,,,8357772.0
HA Lumphat,HA Lumphat,HA Lumphat,Cho mượn,4.752.281,13.453.396,,4752281.0,13453396.0
HA Lumphat,HA Lumphat,HA Lumphat,Thu tiền cho mượn,2.639.405,-,,2639405.0,
HA Lumphat,HA Lumphat,HA Lumphat,Bù trừ nợ gốc vay,-,34.485.698,,,34485698.0
Thaco Xe Chuyên dụng,Thaco Xe Chuyên dụng,Thaco Xe Chuyên dụng,Mua hàng hóa,7.047.340,1.577.069,,7047340.0,1577069.0
Thaco Auto Phân phối,Thaco Auto Phân phối,Thaco Auto Phân phối,Mua tài sản,6.394.444,8.258.889,,6394444.0,8258889.0
Thaco Thiết bị Chuyên dụng,Thaco Thiết bị Chuyên dụng,Thaco Thiết bị Chuyên dụng,Mua hàng hóa,6.279.205,7.696.009,,6279205.0,7696009.0
Thilogi Lào,Thilogi Lào,Thilogi Lào,Chi hộ,4.401.571,-,,4401571.0,
Thilogi Lào,Thilogi Lào,Thilogi Lào,Cán trừ công nợ,1.494.586,-,,1494586.0,
