row_label_raw,row_label_full,col_0,Cây trồnglâu năm,"Phương tiệnvận tải,truyền dẫn",Nhà cửa vàvật kiến trúc,Gia súcchăn nuôi,Máy móc vàthiết bị,Thiết bịvăn phòng,Tài sản khác,Ngân VNDTổng cộng,numeric__Cây trồnglâu năm,"numeric__Phương tiệnvận tải,truyền dẫn",numeric__Nhà cửa vàvật kiến trúc,numeric__Gia súcchăn nuôi,numeric__Máy móc vàthiết bị,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__Ngân VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,
Số đầu nămĐầu tư xây dựng cơ bảnhoàn thành,Nguyên giá > Số đầu nămĐầu tư xây dựng cơ bảnhoàn thành,Số đầu nămĐầu tư xây dựng cơ bảnhoàn thành,5.701.184.211,1.292.568.536,951.872.184,236.671.872,350.747.694,3.250.431,7.155.095,8.543.450.023,5701184211.0,1292568536.0,951872184.0,236671872.0,350747694.0,3250431.0,7155095.0,8543450023.0
Số đầu nămĐầu tư xây dựng cơ bảnhoàn thành,Nguyên giá > Số đầu nămĐầu tư xây dựng cơ bảnhoàn thành,Số đầu nămĐầu tư xây dựng cơ bảnhoàn thành,701.120.920,6.687.006,-,90.076.719,21.218.739,-,-,819.103.384,701120920.0,6687006.0,,90076719.0,21218739.0,,,819103384.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,4.514.671,-,-,12.226.837,137.472,-,16.878.980,,4514671.0,,,12226837.0,137472.0,,16878980.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(274.632),-,-,-,-,-,(274.632),,-274632.0,,,,,,-274632.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(199.789.256),(4.740.342),(4.712.717),-,(32.301.770),-,-,(241.544.085),-199789256.0,-4740342.0,-4712717.0,,-32301770.0,,,-241544085.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,207.425.142,43.382.981,31.676.423,7.973.402,11.951.163,9.577,241.037,302.659.725,207425142.0,43382981.0,31676423.0,7973402.0,11951163.0,9577.0,241037.0,302659725.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,6.409.941.017,1.342.138.220,978.835.890,334.721.993,363.842.663,3.397.480,7.396.132,9.440.273.395,6409941017.0,1342138220.0,978835890.0,334721993.0,363842663.0,3397480.0,7396132.0,9440273395.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,183.637.035,35.678.681,-,80.539.210,2.961.381,1.857.412,304.673.719,,183637035.0,35678681.0,,80539210.0,2961381.0,1857412.0,304673719.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,,,
