row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm,Ngàn VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,6.032.460,6.062.791,12.095.251,6032460.0,6062791.0,12095251.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,203.232,2.789,206.021,203232.0,2789.0,206021.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,6.235.692,6.065.580,12.301.272,6235692.0,6065580.0,12301272.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số đầu năm,Hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(3.504.890),(3.504.890),,-3504890.0,-3504890.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(764.615),(764.615),,-764615.0,-764615.0
Chênh lệch tỷ giá,Hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(558),(558),,-558.0,-558.0
Số cuối năm,Hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(4.270.063),(4.270.063),,-4270063.0,-4270063.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,6.032.460,2.557.901,8.590.361,6032460.0,2557901.0,8590361.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,6.235.692,1.795.517,8.031.209,6235692.0,1795517.0,8031209.0
