row_label_raw,row_label_full,col_0,Năm nay,Ngân VND > Năm trước,numeric__Năm nay,numeric__Ngân VND > Năm trước
Doanh thu bán mũ cao su,Doanh thu bán mũ cao su,Doanh thu bán mũ cao su,349.858.306,300.525.430,349858306.0,300525430.0
Doanh thu bán trái cây,Doanh thu bán trái cây,Doanh thu bán trái cây,321.328.897,186.946.603,321328897.0,186946603.0
Doanh thu từ cung cấp dịch vụ,Doanh thu từ cung cấp dịch vụ,Doanh thu từ cung cấp dịch vụ,5.867.993,3.659.942,5867993.0,3659942.0
Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,552.598,788.275,552598.0,788275.0
DOANH THU THUẦN,DOANH THU THUẦN,DOANH THU THUẦN,677.607.794,491.920.250,677607794.0,491920250.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu thuần với các bên liên quan (TM số 30),Trong đó: > Doanh thu thuần với các bên liên quan (TM số 30),Doanh thu thuần với các bên liên quan (TM số 30),550.096.203,368.089.370,550096203.0,368089370.0
Doanh thu thuần với các bên khác,Trong đó: > Doanh thu thuần với các bên khác,Doanh thu thuần với các bên khác,127.511.591,123.830.880,127511591.0,123830880.0
