row_label_raw,row_label_full,col_0,Nông nghiệp,Thương mại và dịch vụ,Loại trừ,Ngân VND Tổng cộng,numeric__Nông nghiệp,numeric__Thương mại và dịch vụ,numeric__Loại trừ,numeric__Ngân VND Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Từ khách hàng bên ngoài,Doanh thu > Từ khách hàng bên ngoài,Từ khách hàng bên ngoài,671.187.203,6.420.591,-,677.607.794,671187203.0,6420591.0,,677607794.0
Giữa các bộ phận,Doanh thu > Giữa các bộ phận,Giữa các bộ phận,245.826.431,495.929.334,(741.755.765),-,245826431.0,495929334.0,-741755765.0,
Tổng cộng,Doanh thu > Tổng cộng,Tổng cộng,917.013.634,502.349.925,(741.755.765),677.607.794,917013634.0,502349925.0,-741755765.0,677607794.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh > Kết quả của bộ phận,Kết quả của bộ phận,149.969.950,1.444.334,,151.414.284,149969950.0,1444334.0,,151414284.0
Chi phí hoạt động,Kết quả hoạt động kinh doanh > Chi phí hoạt động,Chi phí hoạt động,,,,(828.529.812),,,,-828529812.0
"Lỗ trước thuế, doanh thu tài chính và chi phí tài chính","Kết quả hoạt động kinh doanh > Lỗ trước thuế, doanh thu tài chính và chi phí tài chính","Lỗ trước thuế, doanh thu tài chính và chi phí tài chính",,,,(677.115.528),,,,-677115528.0
Doanh thu tài chính,Kết quả hoạt động kinh doanh > Doanh thu tài chính,Doanh thu tài chính,,,,77.335.130,,,,77335130.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,(419.084.704),,,,-419084704.0
Phần lãi từ công ty liên kết,Kết quả hoạt động kinh doanh > Phần lãi từ công ty liên kết,Phần lãi từ công ty liên kết,,,,39.283.372,,,,39283372.0
Lỗ kế toán trước thuế,Kết quả hoạt động kinh doanh > Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,,,,(979.581.730),,,,-979581730.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,-,,,,
Thu nhập thuế thu nhập hoãn lại,Chi phí thuế TNDN hiện hành > Thu nhập thuế thu nhập hoãn lại,Thu nhập thuế thu nhập hoãn lại,,,,(7.480.341),,,,-7480341.0
Lỗ thuần trong năm,Chi phí thuế TNDN hiện hành > Lỗ thuần trong năm,Lỗ thuần trong năm,,,,(987.062.071),,,,-987062071.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,,,,
Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,,,,,,,,
Tải sản của bộ phận,Tải sản và nợ phải trả > Tải sản của bộ phận,Tải sản của bộ phận,17.258.371.780,2.063.292.182,-,19.321.663.962,17258371780.0,2063292182.0,,19321663962.0
Đầu tư vào công ty liên kết,Tải sản và nợ phải trả > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,356.320.039,-,-,356.320.039,356320039.0,,,356320039.0
Tổng tài sản,Tải sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,19.677.984.001,,,,19677984001.0
Nợ phải trả của bộ phận,Tải sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(15.545.358.150),(3.088.002.132),-,(18.633.360.282),-15545358150.0,-3088002132.0,,-18633360282.0
Tổng nợ phải trả,Tải sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,(18.633.360.282),,,,-18633360282.0
