row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),Phải trả ngắn hạn khác (TM số 20),,,
THACO AGRI,Phải trả ngắn hạn khác (TM số 20) > THACO AGRI,THACO AGRI,Nhờ chi hộ,25.109.651,-,,25109651.0,
THACO AGRI,Phải trả ngắn hạn khác (TM số 20) > THACO AGRI,THACO AGRI,Cán trừ công nợ,-,20.827.778,,,20827778.0
Eastern Rubber,Phải trả ngắn hạn khác (TM số 20) > Eastern Rubber,Eastern Rubber,Mượn vật tư,1.081.153,-,,1081153.0,
Khác,Phải trả ngắn hạn khác (TM số 20) > Khác,Khác,Khác,1.567.035,1.042.387,,1567035.0,1042387.0
TỔNG CỘNG,Phải trả ngắn hạn khác (TM số 20) > TỔNG CỘNG,TỔNG CỘNG,,27.757.839,21.870.165,,27757839.0,21870165.0
Phải trả dài hạn khác (TM số 20),Phải trả dài hạn khác (TM số 20),Phải trả dài hạn khác (TM số 20),Phải trả dài hạn khác (TM số 20),Phải trả dài hạn khác (TM số 20),Phải trả dài hạn khác (TM số 20),,,
THACO AGRI,Phải trả dài hạn khác (TM số 20) > THACO AGRI,THACO AGRI,Nhờ chi hộ,1.743.143,1.688.554,,1743143.0,1688554.0
Cơ khí Chu Lai,Phải trả dài hạn khác (TM số 20) > Cơ khí Chu Lai,Cơ khí Chu Lai,Nhờ chi hộ,796.522,20.562.546,,796522.0,20562546.0
Thaco Xe Chuyên dụng,Phải trả dài hạn khác (TM số 20) > Thaco Xe Chuyên dụng,Thaco Xe Chuyên dụng,Nhờ chi hộ,316.755,315.099,,316755.0,315099.0
Khác,Phải trả dài hạn khác (TM số 20) > Khác,Khác,Khác,67.683,23.340,,67683.0,23340.0
TỔNG CỘNG,Phải trả dài hạn khác (TM số 20) > TỔNG CỘNG,TỔNG CỘNG,,2.924.103,22.589.539,,2924103.0,22589539.0
Vay ngắn hạn (TM số 21.1 và TM số 21.2),Vay ngắn hạn (TM số 21.1 và TM số 21.2),Vay ngắn hạn (TM số 21.1 và TM số 21.2),Vay ngắn hạn (TM số 21.1 và TM số 21.2),Vay ngắn hạn (TM số 21.1 và TM số 21.2),Vay ngắn hạn (TM số 21.1 và TM số 21.2),,,
THACO AGRI,Vay ngắn hạn (TM số 21.1 và TM số 21.2) > THACO AGRI,THACO AGRI,Vay,9.064.874.588,9.064.874.588,,9064874588.0,9064874588.0
Vay dài hạn (TM số 21.2),Vay dài hạn (TM số 21.2),Vay dài hạn (TM số 21.2),Vay dài hạn (TM số 21.2),Vay dài hạn (TM số 21.2),Vay dài hạn (TM số 21.2),,,
THACO AGRI,Vay dài hạn (TM số 21.2) > THACO AGRI,THACO AGRI,Vay,512.573.527,-,,512573527.0,
