row_label_raw,row_label_full,Ông Trần Bảo Sơn,Tổng Giám đốc,col_2,numeric__Tổng Giám đốc,numeric__col_2
Ông Phan Bá Cường,Ông Phan Bá Cường,Ông Phan Bá Cường,Phó Tổng Giám đốc,bỗ nhiệm ngày 1 tháng 8 năm 2025,,
Ông Nguyễn Hoàng Phi,Ông Nguyễn Hoàng Phi,Ông Nguyễn Hoàng Phi,Phó Tổng Giám đốc,miễn nhiệm ngày 1 tháng 8 năm 2025,,
