row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024
Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,385.908.974,-,106.011.276,491.920.250,385908974.0,,106011276.0,491920250.0
Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,-,114.606.182,-,114.606.182,,114606182.0,,114606182.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,
Tải sản bộ phận,Các thông tin bộ phận khác > Tải sản bộ phận,Tải sản bộ phận,2.413.396.930,11.826.785.492,2.117.359.035,16.357.541.457,2413396930.0,11826785492.0,2117359035.0,16357541457.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,337.952.313,-,-,337.952.313,337952313.0,,,337952313.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,2.751.349.243,11.826.785.492,2.117.359.035,16.695.493.770,2751349243.0,11826785492.0,2117359035.0,16695493770.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,,,,
Doanh thu từ khách hàng bên ngoài,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,578.818.990,-,98.788.804,677.607.794,578818990.0,,98788804.0,677607794.0
Chi phí hình thành tài sản cố định,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,-,806.739.075,-,806.739.075,,806739075.0,,806739075.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,
Tải sản bộ phận,Các thông tin bộ phận khác > Tải sản bộ phận,Tải sản bộ phận,491.773.365,16.270.769.028,2.559.121.569,19.321.663.962,491773365.0,16270769028.0,2559121569.0,19321663962.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,356.320.039,-,-,356.320.039,356320039.0,,,356320039.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,848.093.404,16.270.769.028,2.559.121.569,19.677.984.001,848093404.0,16270769028.0,2559121569.0,19677984001.0
