row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
300,300,300,C. NỘ PHẢI TRẢ,,18.633.360.282,15.059.861.988,,,18633360282.0,15059861988.0
310,310,310,I. Nợ ngắn hạn,,16.543.273.400,14.304.209.578,,,16543273400.0,14304209578.0
311,311,311,1. Phải trả người bán ngắn hạn,17,1.066.650.387,1.283.068.487,,17.0,1066650387.0,1283068487.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,18,3.551.980.372,1.993.780.825,,18.0,3551980372.0,1993780825.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,9,14.352.011,13.481.879,,9.0,14352011.0,13481879.0
314,314,314,4. Phải trả người lao động,,43.298.930,43.890.719,,,43298930.0,43890719.0
315,315,315,5. Chỉ phí phải trả ngắn hạn,19,1.998.458.186,1.215.349.958,,19.0,1998458186.0,1215349958.0
319,319,319,6. Phải trả ngắn hạn khác,20,174.073.522,142.810.450,,20.0,174073522.0,142810450.0
320,320,320,7. Vay ngắn hạn,21,9.694.459.992,9.611.827.260,,21.0,9694459992.0,9611827260.0
330,330,330,II. Nợ dài hạn,,2.090.086.882,755.652.410,,,2090086882.0,755652410.0
331,331,331,1. Phải trả người bán dài hạn,17,952.761.388,-,,17.0,952761388.0,
333,333,333,2. Chỉ phí phải trả dài hạn,19,223.150.220,221.699.725,,19.0,223150220.0,221699725.0
337,337,337,3. Phải trả dài hạn khác,20,160.398.688,195.696.764,,20.0,160398688.0,195696764.0
338,338,338,4. Vay dài hạn,21,753.776.586,338.255.921,,21.0,753776586.0,338255921.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,1.044.623.719,1.635.631.782,,,1044623719.0,1635631782.0
410,410,410,I. Vốn chủ sở hữu,22.1,1.044.623.719,1.635.631.782,,221.0,1044623719.0,1635631782.0
411,411,411,1. Vốn cổ phần,,11.085.538.950,11.085.538.950,,,11085538950.0,11085538950.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,11.085.538.950,11.085.538.950,,,11085538950.0,11085538950.0
412,412,412,2. Thắng dư vốn cổ phần,,1.170.127.000,1.170.127.000,,,1170127000.0,1170127000.0
417,417,417,3. Chênh lệch tỷ giá hối đoái,,(839.729.384),(1.235.909.392),,,-839729384.0,-1235909392.0
421,421,421,4. Lỗ lũy kế,,(10.371.312.847),(9.384.124.776),,,-10371312847.0,-9384124776.0
421a,421a,421a,- Lỗ lũy kế đến cuối năm trước,,(9.384.250.776),(8.102.246.128),,,-9384250776.0,-8102246128.0
421b,421b,421b,- Lỗ năm nay,,(987.062.071),(1.281.878.648),,,-987062071.0,-1281878648.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,19.677.984.001,16.695.493.770,,,19677984001.0,16695493770.0
