row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,2.017.677.501,1.671.201.451,2017677501.0,1671201451.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Hợp đồng xây dựng (i),Trong đó: > Hợp đồng xây dựng (i),Hợp đồng xây dựng (i),1.444.512.706,1.249.056.805,1444512706.0,1249056805.0
"Hoạt động sản xuất, trồng trọt","Trong đó: > Hoạt động sản xuất, trồng trọt","Hoạt động sản xuất, trồng trọt",573.164.795,422.144.646,573164795.0,422144646.0
Nguyên vật liệu,Trong đó: > Nguyên vật liệu,Nguyên vật liệu,407.149.558,280.410.763,407149558.0,280410763.0
"Công cụ, dụng cụ","Trong đó: > Công cụ, dụng cụ","Công cụ, dụng cụ",48.923.332,43.032.558,48923332.0,43032558.0
Thành phẩm,Trong đó: > Thành phẩm,Thành phẩm,29.715.970,20.781.235,29715970.0,20781235.0
Hàng mua đang đi đường,Trong đó: > Hàng mua đang đi đường,Hàng mua đang đi đường,3.526.008,1.689.524,3526008.0,1689524.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,2.506.992.369,2.017.115.531,2506992369.0,2017115531.0
Dự phòng giảm giá hàng tồn kho,Trong đó: > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(24.873.311),(79.685.477),-24873311.0,-79685477.0
GIÁ TRỊ THUÀN,Trong đó: > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,2.482.119.058,1.937.430.054,2482119058.0,1937430054.0
