row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),,,
Thaco ID M&E,Phải trả người bán ngắn hạn (TM số 17) > Thaco ID M&E,Thaco ID M&E,Mua vật tư và hàng hóa,493.275.272,242.533.795,,493275272.0,242533795.0
THACO AGRI,Phải trả người bán ngắn hạn (TM số 17) > THACO AGRI,THACO AGRI,"Mua vật tư, hàng hóa và phí quản lý",113.667.100,454.527.130,,113667100.0,454527130.0
Thadico,Phải trả người bán ngắn hạn (TM số 17) > Thadico,Thadico,Mua dịch vụ,87.294.143,13.289.381,,87294143.0,13289381.0
Thaco Auto Phân phối,Phải trả người bán ngắn hạn (TM số 17) > Thaco Auto Phân phối,Thaco Auto Phân phối,Mua tài sản và hàng hóa,46.189.460,39.283.321,,46189460.0,39283321.0
Thaco Thiết bị Chuyên dụng,Phải trả người bán ngắn hạn (TM số 17) > Thaco Thiết bị Chuyên dụng,Thaco Thiết bị Chuyên dụng,Mua hàng hóa,27.152.223,20.138.680,,27152223.0,20138680.0
Thaco Linh kiện Nhựa,Phải trả người bán ngắn hạn (TM số 17) > Thaco Linh kiện Nhựa,Thaco Linh kiện Nhựa,Mua hàng hóa,24.642.381,4.053.188,,24642381.0,4053188.0
Thilogi,Phải trả người bán ngắn hạn (TM số 17) > Thilogi,Thilogi,Mua dịch vụ,6.874.978,6.325.242,,6874978.0,6325242.0
Thép Chu Lai,Phải trả người bán ngắn hạn (TM số 17) > Thép Chu Lai,Thép Chu Lai,Mua dịch vụ,6.849.421,14.525.327,,6849421.0,14525327.0
Thaco Xe Chuyên dụng,Phải trả người bán ngắn hạn (TM số 17) > Thaco Xe Chuyên dụng,Thaco Xe Chuyên dụng,Mua vật tư và hàng hóa,5.009.861,1.645.441,,5009861.0,1645441.0
THACO,Phải trả người bán ngắn hạn (TM số 17) > THACO,THACO,Mua tài sản,4.830.000,-,,4830000.0,
Liên vận Thilogi,Phải trả người bán ngắn hạn (TM số 17) > Liên vận Thilogi,Liên vận Thilogi,Mua dịch vụ,3.770.768,-,,3770768.0,
Thaco Bao bì,Phải trả người bán ngắn hạn (TM số 17) > Thaco Bao bì,Thaco Bao bì,Mua hàng hóa,3.244.013,7.992.311,,3244013.0,7992311.0
Thaco Auto Gia Lai,Phải trả người bán ngắn hạn (TM số 17) > Thaco Auto Gia Lai,Thaco Auto Gia Lai,Mua hàng hóa,2.851.551,-,,2851551.0,
