row_label_raw,row_label_full,Ông Trần Bá Dương,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Phó Chủ tịch,miễn nhiệm ngày 25 tháng 4 năm 2025,,
Ông Trần Bảo Sơn,Ông Trần Bảo Sơn,Ông Trần Bảo Sơn,Thành viên,,,
Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Thành viên,bổ nhiệm ngày 25 tháng 4 năm 2025,,
,,,không điều hành,,,
Ông Nguyễn Hoàng Phí,Ông Nguyễn Hoàng Phí,Ông Nguyễn Hoàng Phí,Thành viên,miễn nhiệm ngày 25 tháng 4 năm 2025,,
Ông Nguyễn Phúc Thịnh,Ông Nguyễn Phúc Thịnh,Ông Nguyễn Phúc Thịnh,Thành viên độc lập,miễn nhiệm ngày 25 tháng 4 năm 2025,,
