row_label_raw,row_label_full,col_0,Nông nghiệp,Thương mại và dịch vụ,Loại trừ,Ngân VND Tổng cộng,numeric__Nông nghiệp,numeric__Thương mại và dịch vụ,numeric__Loại trừ,numeric__Ngân VND Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Từ khách hàng bên ngoài,Doanh thu > Từ khách hàng bên ngoài,Từ khách hàng bên ngoài,487.472.033,4.448.217,-,491.920.250,487472033.0,4448217.0,,491920250.0
Giữa các bộ phận,Doanh thu > Giữa các bộ phận,Giữa các bộ phận,179.394.949,405.348.142,(584.743.091),-,179394949.0,405348142.0,-584743091.0,
Tổng cộng,Doanh thu > Tổng cộng,Tổng cộng,666.866.982,409.796.359,(584.743.091),491.920.250,666866982.0,409796359.0,-584743091.0,491920250.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh > Kết quả của bộ phận,Kết quả của bộ phận,(436.570.556),848.126,,(435.722.430),-436570556.0,848126.0,,-435722430.0
Chi phí hoạt động,Kết quả hoạt động kinh doanh > Chi phí hoạt động,Chi phí hoạt động,,,,(636.809.453),,,,-636809453.0
"Lỗ trước thuế, doanh thu tài chính và chi phí tài chính","Kết quả hoạt động kinh doanh > Lỗ trước thuế, doanh thu tài chính và chi phí tài chính","Lỗ trước thuế, doanh thu tài chính và chi phí tài chính",,,,(1.072.531.883),,,,-1072531883.0
Doanh thu tài chính,Kết quả hoạt động kinh doanh > Doanh thu tài chính,Doanh thu tài chính,,,,86.112.332,,,,86112332.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,(319.852.387),,,,-319852387.0
Phần lãi trong công ty liên kết,Kết quả hoạt động kinh doanh > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,24.650.807,,,,24650807.0
Lỗ kế toán trước thuế,Kết quả hoạt động kinh doanh > Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,,,,(1.281.621.131),,,,-1281621131.0
Chi phí thuế TNDN hiện hành,Kết quả hoạt động kinh doanh > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(165.902),,,,-165902.0
Chi phí thuế thu nhập hoãn lại,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,,,,(91.615),,,,-91615.0
Lỗ thuần trong năm,Kết quả hoạt động kinh doanh > Lỗ thuần trong năm,Lỗ thuần trong năm,,,,(1.281.878.648),,,,-1281878648.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,,,
Tài sản của bộ phận,Tài sản và nợ phải trả > Tài sản của bộ phận,Tài sản của bộ phận,14.122.141.035,2.235.400.422,-,16.357.541.457,14122141035.0,2235400422.0,,16357541457.0
Đầu tư vào công ty liên kết,Tài sản và nợ phải trả > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,337.952.313,-,-,337.952.313,337952313.0,,,337952313.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,16.695.493.770,,,,16695493770.0
Nợ phải trả của bộ phận,Tài sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(1.568.722.074),(13.491.139.914),-,(15.059.861.988),-1568722074.0,-13491139914.0,,-15059861988.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,(15.059.861.988),,,,-15059861988.0
