row_label_raw,row_label_full,NGUỒN VỐN,Số liệu trình bày tại 31/12/2014 (Quyết định 15) > Mã,Số liệu trình bày tại 31/12/2014 (Quyết định 15) > Số tiền,Thay đổi > Số tiền,Số liệu trình bày tại 01/01/2015 (Thông tư 200) > Mã,Số liệu trình bày tại 01/01/2015 (Thông tư 200) > Số tiền,numeric__Số liệu trình bày tại 31/12/2014 (Quyết định 15) > Mã,numeric__Số liệu trình bày tại 31/12/2014 (Quyết định 15) > Số tiền,numeric__Thay đổi > Số tiền,numeric__Số liệu trình bày tại 01/01/2015 (Thông tư 200) > Mã,numeric__Số liệu trình bày tại 01/01/2015 (Thông tư 200) > Số tiền
C. NỘ PHÁI TRẢ,C. NỘ PHÁI TRẢ,C. NỘ PHÁI TRẢ,,611.306.230.921,,,611.306.230.921,,611306230921.0,,,611306230921.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,333.687.625.962,(79.557.740.335),310,254.129.885.627,310.0,333687625962.0,-79557740335.0,310.0,254129885627.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,312,76.041.470.324,,311,76.041.470.324,312.0,76041470324.0,,311.0,76041470324.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,313,11.039.500,,312,11.039.500,313.0,11039500.0,,312.0,11039500.0
3. Thưế và các khoản phải nộp Nhà nước,3. Thưế và các khoản phải nộp Nhà nước,3. Thưế và các khoản phải nộp Nhà nước,314,28.807.192.501,,313,28.807.192.501,314.0,28807192501.0,,313.0,28807192501.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,315,1.301.461.693,,314,1.301.461.693,315.0,1301461693.0,,314.0,1301461693.0
5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,316,21.998.220.037,,315,21.998.220.037,316.0,21998220037.0,,315.0,21998220037.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,,,24.142.541.715,318,24.142.541.715,,,24142541715.0,318.0,24142541715.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,102.535.668.880,(102.391.734.997),319,143.933.883,319.0,102535668880.0,-102391734997.0,319.0,143933883.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,311,99.128.000.000,,320,99.128.000.000,311.0,99128000000.0,,320.0,99128000000.0
9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,320,1.308.547.053,(1.308.547.053),321,,320.0,1308547053.0,-1308547053.0,321.0,
10. Quỹ khen thưởng phúc lợi,10. Quỹ khen thưởng phúc lợi,10. Quỹ khen thưởng phúc lợi,323,2.556.025.974,,322,2.556.025.974,323.0,2556025974.0,,322.0,2556025974.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,277.618.604.959,79.557.740.335,330,357.176.345.294,330.0,277618604959.0,79557740335.0,330.0,357176345294.0
1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,338,198.153.225.566,(24.142.541.715),336,174.010.683.851,338.0,198153225566.0,-24142541715.0,336.0,174010683851.0
2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,333,3.468.010.302,102.391.734.997,337,105.859.745.299,333.0,3468010302.0,102391734997.0,337.0,105859745299.0
3. Vay và nợ thuê tài chính dài hạn,3. Vay và nợ thuê tài chính dài hạn,3. Vay và nợ thuê tài chính dài hạn,334,75.997.369.091,,338,75.997.369.091,334.0,75997369091.0,,338.0,75997369091.0
4. Dự phòng phải trả dài hạn,4. Dự phòng phải trả dài hạn,4. Dự phòng phải trả dài hạn,,,1.308.547.053,342,1.308.547.053,,,1308547053.0,342.0,1308547053.0
D. VỐN CHỦ SỐ HỮU,D. VỐN CHỦ SỐ HỮU,D. VỐN CHỦ SỐ HỮU,400,466.137.561.542,,400,466.137.561.542,400.0,466137561542.0,,400.0,466137561542.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,466.137.561.542,,410,466.137.561.542,410.0,466137561542.0,,410.0,466137561542.0
1. Quỹ đầu tư phát triển,1. Quỹ đầu tư phát triển,1. Quỹ đầu tư phát triển,417,17.242.017.868,11.801.972.821,418,29.043.990.689,417.0,17242017868.0,11801972821.0,418.0,29043990689.0
2. Quỹ dự phòng tài chính,2. Quỹ dự phòng tài chính,2. Quỹ dự phòng tài chính,418,11.801.972.821,(11.801.972.821),,,418.0,11801972821.0,-11801972821.0,,
3. Lợi nhuận sau thuế chưa phân phối,3. Lợi nhuận sau thuế chưa phân phối,3. Lợi nhuận sau thuế chưa phân phối,420,93.973.590.853,,421,93.973.590.853,420.0,93973590853.0,,421.0,93973590853.0
- LNST chưa phân phối lũy kể cuối kỳ trước,- LNST chưa phân phối lũy kể cuối kỳ trước,- LNST chưa phân phối lũy kể cuối kỳ trước,,19.289.275.564,,421a,19.289.275.564,,19289275564.0,,,19289275564.0
- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,,74.684.315.289,,421b,74.684.315.289,,74684315289.0,,,74684315289.0
TỔNG CỘNG NGUỐN VỐN,TỔNG CỘNG NGUỐN VỐN,TỔNG CỘNG NGUỐN VỐN,440,1.077.787.403.463,(343.611.000),440,1.077.443.792.463,440.0,1077787403463.0,-343611000.0,440.0,1077443792463.0
