row_label_raw,row_label_full,col_0,Vốn đầu tư chủ sở hữu VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn đầu tư chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 01/01/2014 như được trình bày lại,Số dư tại ngày 01/01/2014 như được trình bày lại,Số dư tại ngày 01/01/2014 như được trình bày lại,343.119.980.000,26.631.567.041,42.325.252.741,412.076.799.782,343119980000.0,26631567041.0,42325252741.0,412076799782.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,74.684.315.289,74.684.315.289,,,74684315289.0,74684315289.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,2.412.423.648,(4.824.847.297),(2.412.423.649),,2412423648.0,-4824847297.0,-2412423649.0
Tăng khác,Tăng khác,Tăng khác,-,-,2.376.067.970,2.376.067.970,,,2376067970.0,2376067970.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,(20.587.197.850),(20.587.197.850),,,-20587197850.0,-20587197850.0
Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,Số dư tại ngày 31/12/2014,343.119.980.000,29.043.990.689,93.973.590.853,466.137.561.542,343119980000.0,29043990689.0,93973590853.0,466137561542.0
Vốn góp tăng trong năm (*),Vốn góp tăng trong năm (*),Vốn góp tăng trong năm (*),343.119.980.000,-,-,343.119.980.000,343119980000.0,,,343119980000.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,90.094.008.856,90.094.008.856,,,90094008856.0,90094008856.0
Phân phối lợi nhuận (**),Phân phối lợi nhuận (**),Phân phối lợi nhuận (**),-,7.468.431.529,(14.936.863.057),(7.468.431.528),,7468431529.0,-14936863057.0,-7468431528.0
Trả cổ tức (**),Trả cổ tức (**),Trả cổ tức (**),-,-,(54.899.196.800),(54.899.196.800),,,-54899196800.0,-54899196800.0
Giám khác,Giám khác,Giám khác,-,(6.243.529.147),-,(6.243.529.147),,-6243529147.0,,-6243529147.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,686.239.960.000,30.268.893.071,114.231.539.852,830.740.392.923,686239960000.0,30268893071.0,114231539852.0,830740392923.0
