row_label_raw,row_label_full,col_0,31/12/2015 > Giá trịVND,31/12/2015 > Số có khả năng trả nợVND,Trong kỳ > TăngVND,Trong kỳ > GiảmVND,01/01/2015 > Giá trịVND,01/01/2015 > Số có khả năng trả nợVND,numeric__31/12/2015 > Giá trịVND,numeric__31/12/2015 > Số có khả năng trả nợVND,numeric__Trong kỳ > TăngVND,numeric__Trong kỳ > GiảmVND,numeric__01/01/2015 > Giá trịVND,numeric__01/01/2015 > Số có khả năng trả nợVND
"Vay ngân hàng, tổ chức kinh tế","Vay ngân hàng, tổ chức kinh tế","Vay ngân hàng, tổ chức kinh tế",9.479.68C.092,9.479.680.092,9.479.680.092,44.400.000.000,44.400.000.000,44.400.000.000,,9479680092.0,9479680092.0,44400000000.0,44400000000.0,44400000000.0
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân (i),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân (i),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân (i),7.879.68C.092,7.879.680.092,7.879.680.092,-,-,-,,7879680092.0,7879680092.0,,,
- Công ty Cổ phần Phát triển dịch vụ C.E.O,- Công ty Cổ phần Phát triển dịch vụ C.E.O,- Công ty Cổ phần Phát triển dịch vụ C.E.O,1.600.000.000,1.600.000.000,1.600.000.000,4.000.000.000,4.000.000.000,4.000.000.000,1600000000.0,1600000000.0,1600000000.0,4000000000.0,4000000000.0,4000000000.0
- Công ty Cổ phần Xây dựng C.E.O,- Công ty Cổ phần Xây dựng C.E.O,- Công ty Cổ phần Xây dựng C.E.O,-,-,-,37.550.000.000,37.550.000.000,37.550.000.000,,,,37550000000.0,37550000000.0,37550000000.0
- Trường Cao đẳng Đại Việt,- Trường Cao đẳng Đại Việt,- Trường Cao đẳng Đại Việt,-,-,-,2.000.000.000,2.000.000.000,2.000.000.000,,,,2000000000.0,2000000000.0,2000000000.0
- Công ty TNHH C.E.O Quốc tế,- Công ty TNHH C.E.O Quốc tế,- Công ty TNHH C.E.O Quốc tế,-,-,-,850.000.000,850.000.000,850.000.000,,,,850000000.0,850000000.0,850000000.0
Vay cá nhân,Vay cá nhân,Vay cá nhân,-,-,-,54.728.000.000,54.728.000.000,54.728.000.000,,,,54728000000.0,54728000000.0,54728000000.0
Vay dài hạn đến hạn trả (xem thuyết minh số 20),Vay dài hạn đến hạn trả (xem thuyết minh số 20),Vay dài hạn đến hạn trả (xem thuyết minh số 20),36.131.208.723,36.131.208.723,-,-,-,-,36131208723.0,36131208723.0,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân,36.131.208.723,36.131.208.723,,,-,-,36131208723.0,36131208723.0,,,,
Tổng,Tổng,Tổng,45.610.888.815,45.610.888.815,9.479.680.092,99.128.000.000,99.128.000.000,99.128.000.000,45610888815.0,45610888815.0,9479680092.0,99128000000.0,99128000000.0,99128000000.0
