row_label_raw,row_label_full,Tại 01/01/2015,Dưới 1 nămVND > Tại 01/01/2015,Từ 1-5 nămVND > Tại 01/01/2015,Sau 5 nămVND > Tại 01/01/2015,TổngVND > Tại 01/01/2015,numeric__Dưới 1 nămVND > Tại 01/01/2015,numeric__Từ 1-5 nămVND > Tại 01/01/2015,numeric__Sau 5 nămVND > Tại 01/01/2015,numeric__TổngVND > Tại 01/01/2015
Tiền,Tiền,Tiền,33.091.847.023,-,-,33.091.847.023,33091847023.0,,,33091847023.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,206.944.801.056,25.700.000.000,-,232.644.801.056,206944801056.0,25700000000.0,,232644801056.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,10.000.000,-,-,10.000.000,10000000.0,,,10000000.0
Các khoản ký quỹ,Các khoản ký quỹ,Các khoản ký quỹ,5.135.100.000,-,-,5.135.100.000,5135100000.0,,,5135100000.0
Cộng,Cộng,Cộng,245.181.748.079,25.700.000.000,-,270.881.748.079,245181748079.0,25700000000.0,,270881748079.0
Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,,,,
Phải trả người bán và phải trả khác,Tại 01/01/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,76.185.404.207,105.859.745.299,-,182.045.149.506,76185404207.0,105859745299.0,,182045149506.0
Chỉ phí phải trả,Tại 01/01/2015 > Chỉ phí phải trả,Chỉ phí phải trả,21.998.220.037,-,-,21.998.220.037,21998220037.0,,,21998220037.0
Các khoản vay,Tại 01/01/2015 > Các khoản vay,Các khoản vay,99.128.000.000,75.997.369.091,-,175.125.369.091,99128000000.0,75997369091.0,,175125369091.0
Cộng,Tại 01/01/2015 > Cộng,Cộng,197.311.624.244,181.857.114.390,-,379.168.738.634,197311624244.0,181857114390.0,,379168738634.0
Chênh lệch thanh khoản thuần,Tại 01/01/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,47.870.123.835,(156.157.114.390),-,(108.286.990.555),47870123835.0,-156157114390.0,,-108286990555.0
