row_label_raw,row_label_full,TÀI SẢN,Số liệu trình bày tại 31/12/2014 (Quyết định 15) > Mã số,Số liệu trình bày tại 31/12/2014 (Quyết định 15) > Số tiền,Thay đổi > Số tiền,Số liệu trình bày tại 01/01/2015 (Thông tư 200) > Mã số,Số liệu trình bày tại 01/01/2015 (Thông tư 200) > Số tiền,numeric__Số liệu trình bày tại 31/12/2014 (Quyết định 15) > Mã số,numeric__Số liệu trình bày tại 31/12/2014 (Quyết định 15) > Số tiền,numeric__Thay đổi > Số tiền,numeric__Số liệu trình bày tại 01/01/2015 (Thông tư 200) > Mã số,numeric__Số liệu trình bày tại 01/01/2015 (Thông tư 200) > Số tiền
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,516.476.755.670,(20.397.990.000),100,496.078.765.670,100.0,516476755670.0,-20397990000.0,100.0,496078765670.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,246.792.134.157,(20.397.990.000),130,226.394.144.157,130.0,246792134157.0,-20397990000.0,130.0,226394144157.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,36.642.067.988,(20.397.990.000),136,16.244.077.988,136.0,36642067988.0,-20397990000.0,136.0,16244077988.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,236.582.774.490,-,140,236.582.774.490,140.0,236582774490.0,,140.0,236582774490.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,236.582.774.490,-,141,236.582.774.490,141.0,236582774490.0,,141.0,236582774490.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,560.800.126.793,20.564.900.000,200,581.365.026.793,200.0,560800126793.0,20564900000.0,200.0,581365026793.0
1. Các khoản phải thu dài hạn,1. Các khoản phải thu dài hạn,1. Các khoản phải thu dài hạn,210,-,25.700.000.000,210,25.700.000.000,210.0,,25700000000.0,210.0,25700000000.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,25.700.000.000,-,216,25.700.000.000,216.0,25700000000.0,,216.0,25700000000.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,58.713.748.845,-,240,58.713.748.845,240.0,58713748845.0,,240.0,58713748845.0
"1. Chỉ phí sản xuất, kinh doanh dở dang dài hạn","1. Chỉ phí sản xuất, kinh doanh dở dang dài hạn","1. Chỉ phí sản xuất, kinh doanh dở dang dài hạn",241,-,-,241,-,241.0,,,241.0,
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,10.515.622.825,-,260,10.515.622.825,260.0,10515622825.0,,260.0,10515622825.0
2. Tài sản dài hạn khác,2. Tài sản dài hạn khác,2. Tài sản dài hạn khác,261,5.135.100.000,(5.135.100.000),261,-,261.0,5135100000.0,-5135100000.0,261.0,
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,1.077.787.403.463,(343.611.000),270,1.077.443.792.463,270.0,1077787403463.0,-343611000.0,270.0,1077443792463.0
