row_label_raw,row_label_full,col_0,Năm 2015VND,Nguyễn năm subscribe(Closed),numeric__Năm 2015VND,numeric__Nguyễn năm subscribe(Closed)
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",22.813.955.685,"xem lại cá số đầu kỳ và cuối kỳ. Cải thì quá lớn, thì quá nhỏ?",22813955685.0,
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,18.844.915.914,12.295.097.318,18844915914.0,12295097318.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,6.060.676.606,5.377.805.819,6060676606.0,5377805819.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,205.420.766.357,79.601.899.536,205420766357.0,79601899536.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,20.319.503.790,1.892.716.853,20319503790.0,1892716853.0
Cộng,Cộng,Cộng,273.459.818.352,100.262.395.469,273459818352.0,100262395469.0
