row_label_raw,row_label_full,Trong vòng một năm > Trong năm thứ hai > Từ năm thứ ba đến năm thứ năm,"31/12/2015VND > 36,131,208,723 > 100,386,337,430 > 78,675,798,727","31/12/2014VND > - > 13,212,000,000 > 62,785,369,091","numeric__31/12/2015VND > 36,131,208,723 > 100,386,337,430 > 78,675,798,727","numeric__31/12/2014VND > - > 13,212,000,000 > 62,785,369,091"
Cộng,Cộng,Cộng,"215,193,344,880","75,997,369,091",,
Trừ: số phải trả trong vòng 12 tháng (Thuyết minh V.19),Trừ: số phải trả trong vòng 12 tháng (Thuyết minh V.19),Trừ: số phải trả trong vòng 12 tháng (Thuyết minh V.19),"36,131,208,723",-,,
Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,"179,062,136,157","75,997,369,091",,
