row_label_raw,row_label_full,col_0,"Bản quyền, bằng sáng chế VND","Chương trình, phần mềm VND","Nhân hiệu, tên thương mại VND",Cộng VND,"numeric__Bản quyền, bằng sáng chế VND","numeric__Chương trình, phần mềm VND","numeric__Nhân hiệu, tên thương mại VND",numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,62.000.000,241.705.750,267.227.596,570.933.346,62000000.0,241705750.0,267227596.0,570933346.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,130.000.000,-,130.000.000,,130000000.0,,130000000.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,62.000.000,371.705.750,267.227.596,700.933.346,62000000.0,371705750.0,267227596.0,700933346.0
HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,,,,
Tại ngày 01/01/2015,HAO MÔN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,53.532.197,241.705.750,173.138.174,468.376.121,53532197.0,241705750.0,173138174.0,468376121.0
Khấu hao trong năm,HAO MÔN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,8.467.803,17.812.501,53.445.516,79.725.820,8467803.0,17812501.0,53445516.0,79725820.0
Tại ngày 31/12/2015,HAO MÔN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,62.000.000,259.518.251,226.583.690,548.101.941,62000000.0,259518251.0,226583690.0,548101941.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,,
Tại ngày 01/01/2015,GIÁ TRỊ CÔN LẠI > Tại ngày 01/01/2015,Tại ngày 01/01/2015,8.467.803,-,94.089.422,102.557.225,8467803.0,,94089422.0,102557225.0
Tại ngày 31/12/2015,GIÁ TRỊ CÔN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,-,112.187.499,40.643.906,152.831.405,,112187499.0,40643906.0,152831405.0
